dates,oahuoahu0038_0001,oahuoahu0038_0002,oahuoahu0038_0003,oahuoahu0038_0004,oahuoahu0038_0005,oahuoahu0038_0006,oahuoahu0038_0007,oahuoahu0038_0008,oahuoahu0038_0009,oahuoahu0038_0010,oahuoahu0038_0011,oahuoahu0038_0012,oahuoahu0038_0013,oahuoahu0038_0014,oahuoahu0038_0015,oahuoahu0038_0016,oahuoahu0038_0017,oahuoahu0038_0018,oahuoahu0038_0019
2020-11-28 20:47:17.000,171.3006610569331,168.98042111154567,165.40534698407845,165.24396800767806,174.56609675692442,165.11159643814435,172.64396535930015,170.8560359559875,170.9454338383763,171.66158762526368,172.60612693198706,173.073464441388,171.30630431512117,175.9364796129161,178.5370809190251,175.73198343832158,171.5038353152434,169.6534793641368,167.90950032417678
2020-11-30 18:39:11.000,200.5837885247668,196.43356489161656,206.35541334806405,210.9913141551243,,,,,,,,,,,,,,,
2020-12-01 18:35:53.000,182.60018173070657,181.0007725439925,180.3170562570588,183.45347502231675,187.5033594065606,180.03965728959545,185.22009285727964,180.8328609219864,179.3625144511557,181.5738801378196,179.859511063845,179.0153181801987,181.83305993924225,181.53777248184,184.01626540238408,179.5340215236592,173.23577693206136,174.2345855426733,173.76370819619115
2020-12-01 20:44:40.000,183.9252977497096,182.42041322978795,179.96383025882776,184.9975060409625,188.6005747843452,179.78649242659017,184.7577576518467,181.52001253357227,182.8811544998964,181.9953636412212,180.74371821258475,182.35492159168564,182.59161529821225,182.07403650764653,185.7775493603104,180.2809718488988,175.38224552997215,175.93759073844805,172.7287289109847
2020-12-01 20:44:41.000,184.666354782462,183.28738414308305,180.20229472579365,185.7915853516733,188.7428641645708,183.06507954432288,184.75777104206392,183.44004846288595,185.69663323883384,184.42314945646007,185.03216005077743,185.0035815079715,187.61848746106577,187.69510213855884,191.3812740121629,185.9268667002389,180.86011585360168,180.3843880770432,179.06124595586218
2020-12-02 20:45:07.000,184.35593436176347,180.29610094598075,180.01953683217693,183.2584029774908,188.88293355860856,182.3385756475428,184.804763153825,184.1250377763839,183.0017935172853,183.01564708639543,183.7964900796245,182.9612274945786,184.19407302962355,185.19919445119527,185.83222526534988,180.74736678268715,176.18006835421826,176.3162547142512,174.2095485159409
2020-12-02 20:59:29.560,187.36969743953813,184.0596582640842,182.02997230610663,185.26649163284088,188.78966495692043,183.3575281142457,184.41426798188124,183.8199369796291,182.5052872229734,181.02454519117347,180.81533967212803,181.04276857271628,181.0483937012723,181.10606239512367,182.82107489321416,177.08620182256027,173.54715025616096,171.57706883872757,168.6820767146179
2020-12-03 20:27:18.270,201.07361080281444,204.35567733053168,211.8316040356374,211.08266619930265,214.2442475763986,,,,,,,,,205.61510774667585,207.05510407447704,202.47270798333372,197.49335786136515,193.06945476036844,187.7932661093232
2020-12-03 20:27:20.530,203.99282861922103,209.77500624145435,214.69803845352124,214.98808021929528,217.37067081845484,,,,,,,,,209.0344072642347,215.33911586537693,209.3099016074825,204.810932234594,199.59286789669548,199.0366822763618
2020-12-04 18:36:39.000,191.803975639104,186.05326058289532,191.5588680554864,193.6429474605997,208.4567927635452,201.8783602445032,201.6955065728869,201.558983558231,194.2129749450998,187.99287641220351,189.59194595387007,188.0522629977432,188.1885218561825,190.8654521869385,194.64305402989896,192.3843219062628,186.49568832376391,181.71023235703635,180.4156038817769
2020-12-06 20:49:06.000,192.4286292418958,188.46406037631152,188.00011186413604,188.78800028739008,193.3386956901695,190.63792081121653,189.3437251036605,188.3764017837058,187.69337723474047,185.773645685181,186.4490893733939,188.4089047020209,189.9905403249616,189.0387758649661,194.8023118001644,187.41706796526017,185.7184684446753,182.433822588668,186.2306427491464
2020-12-10 20:27:55.290,183.1006014261349,182.5442546200976,181.44552557219603,182.22256767843697,188.0183767290069,183.8927167790569,184.8764133226189,182.27396034581852,181.90379412780769,180.7806606926219,182.8234708705632,181.9377814950529,180.1619118393712,183.4492949091577,184.1418743197572,185.3182328298045,179.27498956216297,175.37999322254583,172.5370537085394
