dates,oahuoahu0045_0001,oahuoahu0045_0002,oahuoahu0045_0003,oahuoahu0045_0004,oahuoahu0045_0005,oahuoahu0045_0006,oahuoahu0045_0007,oahuoahu0045_0008,oahuoahu0045_0009,oahuoahu0045_0010,oahuoahu0045_0011,oahuoahu0045_0012,oahuoahu0045_0013,oahuoahu0045_0014,oahuoahu0045_0015,oahuoahu0045_0016,oahuoahu0045_0017,oahuoahu0045_0018,oahuoahu0045_0019,oahuoahu0045_0020,oahuoahu0045_0021,oahuoahu0045_0022,oahuoahu0045_0023,oahuoahu0045_0024
2019-01-02 20:40:34.000,23.02544554707692,40.75000016384767,62.20139844158247,,78.31348385309472,,91.07238475157712,50.282068698130416,66.36197656319003,74.65928539513095,53.69734039400295,53.21222925891682,51.38748005773798,44.92533211493085,44.52581642576762,49.26771706234111,25.775990766023483,26.2564390686648,28.13301557694071,30.63324800694234,52.00116957472027,47.672674293908905,33.56643487814985,15.843056832453993
2019-01-07 20:27:25.000,19.367795441096,33.90931353507005,33.805048449238605,36.75692125515832,44.99896242098863,54.20429023197817,59.91940960955401,53.223334301390246,46.50568541913066,44.97848544245488,52.90534223552115,51.285902241912645,42.3657716284324,34.941291192975626,31.73553580696241,31.821957003668103,30.65658950547444,29.20082454342782,32.845983695638154,40.77604764791023,41.53040414170759,37.677580364409785,36.59889520633686,15.781624439687375
2019-01-08 20:27:22.000,22.577619766713525,31.977798771258275,37.02202399470308,41.0869555136016,43.55968419376582,52.09415495790245,59.69359506470183,51.15028761678271,42.16024087805032,45.98467306089062,51.02919826448693,79.89196922394768,39.34476044523806,30.808616281972306,24.27901384540989,27.609906609147902,32.55534153766827,27.83114536477641,27.09885454964161,31.67543857058761,30.78644222927909,32.55385267106598,30.588240261518624,8.440249402942737
2019-01-11 20:35:59.000,16.653650629669848,27.384066261284065,32.77971663892722,40.59132266133504,48.62788793764759,53.07362514980684,56.06214393632156,47.267157981515176,38.072452061380666,35.979278939321766,38.54874438343262,38.3087528502986,38.103777486796126,38.71851730803644,38.6585528036281,37.55804802393421,29.073896871781947,24.88940182488843,29.038161196303506,30.2462575036334,26.551038849795283,26.16621225632989,27.54097041375176,11.67418774055667
2019-01-12 20:26:59.000,16.88807300750364,31.9314986879628,34.470176765011644,38.91780782355791,44.88054709155429,77.62655706379908,94.67792165647757,80.76794751502814,39.48526082658083,37.83261045299942,40.87204984664925,40.50149131117849,40.6717735643217,38.73974213809917,38.23474738756934,32.95662468314905,29.308154962389445,25.87081427031586,26.14809486611735,28.17136547368933,28.78849292734332,29.989758067771387,30.20891503366521,15.047597160105092
2019-01-12 20:40:13.000,8.040245242778136,19.147514853103328,28.53873046358604,33.962773847805835,38.55289091162652,43.912042474825,49.746601501727966,44.999682836813214,33.92979435590652,35.74845794861584,46.18384492485868,36.56861586921123,36.7652530279612,,,,,,,,,,,
2019-01-15 20:41:59.000,23.05171470499502,42.96356795963367,44.3621827414276,55.77721500736423,74.86504133075893,75.63458926771574,79.9615876705403,71.11451663954591,85.76083953584346,40.59525557070702,44.31880304642508,,,45.443207744767285,36.014500288371906,38.811892006720086,31.71780162220924,29.76790823389959,30.04515908170202,32.34489225685136,45.95909939930056,42.2616824123486,54.17966443752525,11.857365547312185
2019-01-20 20:37:42.000,9.789028844566976,20.57142603879325,27.516254251980417,33.921672992774944,43.89790144681929,46.3641865431655,53.50339118220519,48.144870645698816,45.18756216483716,41.93855779167968,39.33385757343861,34.652954013872915,33.47542648167465,35.18993063320468,38.88468732067134,41.31072153849109,35.368824589916315,33.63802061708708,39.526579016085016,46.48229571868274,42.57549230203415,46.81894592430159,46.96138284078813,18.22501355261728
2019-01-20 20:37:43.000,,,,,,,,,,,41.18431196064784,35.407692526381005,33.483772806590494,34.86364759813762,39.93996991727731,42.11709644912758,35.47689646538503,34.68851336904631,39.77274070034734,45.370057205622814,42.76930334805973,45.88479844091439,48.74404634428284,15.873070248924927
2019-01-25 20:39:40.000,19.24436132666984,27.712939616203712,36.8404281528024,41.89677594380513,56.52800396300254,60.89738251110894,87.27128676346302,89.22430716541741,75.96766587113193,63.80068591060967,66.89252979929142,58.27918097956007,43.99622567536651,39.68934726366645,41.02508892657459,37.74331381300256,38.45250541956758,36.66248842665687,42.52329515071816,43.37457097677777,40.49943497044208,34.65186630469471,30.5911713612856,12.624472338965916
2019-02-04 20:42:06.000,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-06 20:39:43.000,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-08 20:39:52.000,22.71939908469364,28.67032395214089,30.62637233003962,33.86734571401462,38.39081776918816,46.75548143909787,67.91341645259774,67.2257232531499,67.11342419052986,72.17157274406296,68.96125328881294,30.83342939740661,31.71570109706548,28.901813751120542,28.3130389188632,30.78861663121448,28.991767976839764,25.259468093040365,29.279970108737487,32.93480891770324,32.82263640848748,31.741354584351445,29.9208712087362,11.553587190453593
2019-02-11 20:38:44.000,21.872369923711368,39.570962160884825,39.68634562534383,,,,,,,,,,41.66429932830202,37.51548385975241,43.72661230248411,38.84517171159119,32.70383803811359,27.531986755806138,34.57153783222367,43.08796014235655,44.53483423180798,45.40041035318511,,
2019-02-12 20:42:43.000,13.320538310011658,28.237323721784165,32.45317552014527,36.41726653254867,31.191802064397912,46.21660500268239,55.5503287761771,64.02896593888362,70.4226080093238,,,,,,,,,,71.68515455045916,38.675751059848906,34.53203843651395,52.88185779516962,46.47261752024395,27.35678853094596
2019-02-18 20:41:54.000,37.27849853751778,48.83354970932838,25.403517697127864,43.22002288944165,42.91209378093552,46.70390753055247,55.42810822831572,61.65297525743964,54.752874389909664,61.47424211261282,76.29640295153908,,,,,75.42921494230879,,,,,,,,48.24324857057008
2019-02-27 20:21:27.000,20.301854043214664,35.10399402394744,27.373361273570023,26.751750364508403,,36.802819137972925,50.71123221931732,50.99575568720062,47.9616703498693,48.3587802897967,55.567964714449445,51.0900799997944,43.930416239051,40.01423122789681,44.79983504462439,48.02278823022507,43.11454896441636,45.855311544763794,52.11893192501024,58.58199302307099,55.57713524569781,27.48783401982812,22.49589386184986,10.174070355954688
2019-02-27 20:21:28.000,17.649405372196775,29.21420728148753,24.254373837734263,26.75170675491412,,34.79055321718825,49.08581509440789,50.995712077606335,47.681061721767584,44.19228716385585,49.88799990897867,47.94751144982915,45.18895389617149,43.76509106754175,42.21258715678055,,,,,,39.53107612415972,29.29319895895683,23.708269062761246,14.3541547848831
2019-03-02 20:19:38.000,,,,,,,,,27.18057304152457,,33.02196712926959,42.41481160287282,48.48396540709323,44.69730051450711,45.90848913541157,40.073170602956026,44.19583021974973,42.81779564563216,53.07641401304111,53.7438728333725,46.65662075469326,43.73507141247861,35.884147710021594,24.57133099195986
2019-03-03 20:43:08.000,17.75775041044846,32.10279738179744,24.58902427854703,27.38789416337073,,,,37.95342840182723,29.571952552244955,,31.96598716782802,64.67527765266162,52.28993382019999,45.12571748443777,39.96836100486456,49.65259294375435,44.52515172633924,49.64138343766715,51.10155377239106,48.76957630079996,47.54273379133037,50.98739229181846,,46.74740529308643
2019-03-08 20:41:05.000,9.553963600858706,25.375057169757817,20.555256595975784,45.82494904667135,36.454126821552975,47.464032138986944,57.28379261252467,53.69789469371494,29.9978280011836,34.49033209660381,47.88122921792129,44.77110650402117,45.05261458144406,39.77387614375954,38.56161394852626,32.865571119770266,32.50536514206773,31.352003296588613,30.95211134229748,36.35558197706656,42.6612422622351,44.73442622180416,38.41751969878645,16.81461445487603
2019-03-10 20:42:39.000,,32.49227442263613,55.649526343328255,,,,,,,,,,,,,34.64764545074582,25.01866120976636,33.13723805519922,,,,,,
2019-03-15 20:43:18.000,15.9621685334565,24.36979232005108,24.03919513995583,36.80976425380602,29.153331683743712,34.76160464920632,42.539586084773376,46.48263336104443,43.30461882373571,50.16587416396813,90.33091175856424,,55.823798012715685,39.225328698990666,34.74679922074742,34.26213241125425,40.50443933779493,44.38121096049299,39.65342834728661,44.84357464431522,63.04496973819205,38.14397452467707,30.253065349340748,13.06865887665402
2019-03-16 20:17:25.000,19.63912000926364,41.6266739675854,24.43519035240011,23.683788800301738,,,,35.4956983465924,32.620710194983005,34.19728742411877,35.47525359310593,40.5184263078124,42.3780568052646,41.29680711515441,35.99233613585509,32.60336340403114,31.217143444020515,32.00817994406577,32.02732039170503,32.471749997842565,27.805129446406905,26.500998277806627,26.845164044875258,11.19678126657845
2019-03-16 20:17:26.000,19.374678211465,42.56207751501264,24.43522147878407,23.683819926685697,,,,,,,,,,,,,,,,,,,,
2019-03-21 20:40:17.000,18.178431269604754,30.7771467636672,16.90955400937145,19.1646806468002,,33.66652120709857,,,,,,,,,,,,,,,,,46.72773530325152,20.91665185895098
2019-03-26 20:37:48.000,17.912890476025176,44.32363919784007,,,,,,,,,,,,,,,,,,,,,,
2019-04-04 20:40:55.000,15.901370723224035,12.46772039469618,11.319556274470346,,,,,35.87547991347587,34.38074075369945,40.9977464439395,49.22280122721953,50.9982387019047,54.63192924881326,56.34194882954438,39.24389258538539,40.52552710942369,43.79387087509557,61.83060081647466,59.774328025700775,58.33803871467047,,,50.17746122258571,27.344521403570543
2019-04-04 20:40:56.000,14.399486365996191,12.218690019790726,12.5158610935119,,,,,35.888582779162185,34.60167412432606,39.46758271085142,49.77053430145787,49.70630865905601,53.162448407265856,53.6808707637135,38.84821280530642,40.85159103560105,43.80920030811708,60.01459816329799,54.589685754438406,55.76348387565776,,,50.35685004004235,27.3447859385506
2019-04-06 20:40:16.000,14.950337792302935,27.04544553760202,13.516179421526967,,,,,,27.86677874071513,28.786240804586352,36.82424367214367,42.7306550715278,45.26671026379678,,41.2757508915576,39.529520938398825,40.72742091730996,41.42808002841286,45.30847926508271,50.59232065758291,60.38868978859736,51.68303758101808,53.22897772212343,31.82175983048695
2019-04-07 20:43:51.000,14.669417578727185,22.36212881711709,9.966220285783468,,,,,,,36.938343516086505,66.85828125458833,50.13758185438596,50.17382424491247,53.10742027880857,57.01404221440248,66.0237857178054,60.96520859803661,51.03551223236356,57.561126642431496,73.92448446570047,,,,42.232348749498
2019-04-14 20:13:13.000,15.099637124917312,16.582305624475055,18.17481558175832,23.375411636223205,,,,,,,,,25.380307454455306,29.91063232982309,33.95552577754683,38.37866576875811,35.052265111798846,34.83504923898103,33.41933415470989,39.84108812033658,42.10656519758169,40.91709829526286,42.37514695916437,25.268987131221472
