dates,oahuoahu0042_0001,oahuoahu0042_0002,oahuoahu0042_0003
2019-03-16 20:17:25.000,157.10437130683476,158.98246657750792,161.68709681702555
2019-03-21 20:40:17.000,157.86150106961236,158.2945757484633,160.3296615485302
2019-04-04 20:40:56.000,158.6011883968854,159.3222743680307,162.2909565873646
2019-04-06 20:40:16.000,158.3126529465871,160.32022355561006,164.05742249867728
2019-04-07 20:43:51.000,160.0286618226686,163.05689380570422,165.3570554056783
2019-04-14 20:13:12.000,,,
2019-05-05 20:41:06.000,162.46025464118287,162.77784490513275,165.5009870036259
2019-05-05 20:55:10.260,162.7489257747208,165.03281687751723,167.4565712356354
2019-05-09 20:08:26.000,161.51869127448902,163.80258237728546,165.95231319645953
2019-05-09 20:41:56.000,163.88173812761286,163.90857631387928,165.9483042889306
2019-05-09 20:41:57.000,163.46774319168435,163.7985967221188,165.96633486809606
2019-05-09 21:35:36.030,154.62699092300414,156.7452319416251,163.5055671791928
2019-05-12 20:42:05.000,158.95323837569177,159.67432434683707,163.34299625465945
2019-05-20 20:43:09.000,159.55671537345094,162.9081207960552,165.1535502649779
2019-05-22 20:05:06.000,162.27666727466655,163.66375541048816,167.01732902075858
2019-05-22 20:05:07.000,161.3799080954483,163.66379919824473,165.40145074105547
2019-05-22 20:08:07.000,159.0212572926183,161.12076703421477,163.32334641927062
2019-05-29 20:40:44.000,160.01120709009265,160.40495033777717,162.71156644087773
2019-06-06 20:42:59.000,167.85145429935238,170.14312709785509,172.29750009201356
2019-06-07 20:42:47.000,162.3805080467114,163.77916255097048,167.05229876825794
2019-06-08 20:41:24.000,164.61257581110775,166.1233788302407,168.01984044751828
2019-06-10 20:41:38.000,161.8441142915369,162.16444534087597,165.08028478902443
2019-06-11 20:45:01.000,160.68294795925422,162.18797110550375,165.19060190151933
2019-06-13 20:36:37.000,161.62865636007322,163.3035334476369,165.16298634681343
2019-06-15 20:57:02.070,155.28664914915288,156.01321669107645,161.15509383536252
2019-06-16 20:53:16.940,159.30750004433418,165.51272948133223,
2019-06-18 20:42:05.000,164.5005900061841,166.7817403235914,168.09825745670273
2019-06-20 20:43:26.000,163.9690630302189,162.07883018078363,163.80990531032123
2019-07-06 20:41:46.000,,167.25781016190035,167.35726760788134
2019-07-10 20:42:18.000,160.59871794321353,161.5193843961637,165.15066070390913
2019-07-11 20:00:47.000,158.7248801149264,158.63667454675297,164.0344035937283
2019-07-18 20:43:57.000,,,
2019-07-23 20:42:06.000,163.7860197606197,166.06991086341614,168.5598211870285
2019-07-24 20:58:18.860,158.26338909767634,161.2957528824882,166.36919761892568
2019-07-24 20:58:20.850,163.3714265613052,162.25351826932672,163.76122869339858
2019-07-28 20:34:25.000,157.77132322457675,161.24607306262791,163.27984611495927
2019-07-29 20:42:05.000,160.70700118076903,161.42808715191435,164.5872619244923
2019-08-02 20:34:02.000,165.34570801868378,166.2455587002072,169.54928551734056
2019-08-08 20:45:27.000,160.47558637034703,159.6030862345036,164.4503892522376
2019-08-13 19:55:11.000,156.57166799683895,156.48346242866552,160.8532154814476
2019-08-25 20:46:14.000,,,
2019-08-29 20:44:23.000,159.31380977844637,159.63688161317458,164.00830916669943
2019-09-02 19:50:21.000,161.9146188023779,164.48777942007973,167.8899558169617
2019-09-03 20:42:23.000,159.54822032435575,159.45727397079318,162.49077555350237
2019-09-06 19:51:58.000,155.20226985821097,156.57870881353602,161.715104658482
2019-09-06 20:48:26.000,,,
2019-09-07 20:32:03.000,161.03404162358493,159.9520628732902,164.59089561939254
2019-09-09 20:44:47.000,163.97081009693323,165.84342379682803,169.11589003742824
