dates,oahuoahu0040_0001,oahuoahu0040_0002,oahuoahu0040_0003,oahuoahu0040_0004,oahuoahu0040_0005,oahuoahu0040_0006,oahuoahu0040_0007,oahuoahu0040_0008,oahuoahu0040_0009,oahuoahu0040_0010,oahuoahu0040_0011,oahuoahu0040_0012,oahuoahu0040_0013,oahuoahu0040_0014,oahuoahu0040_0015,oahuoahu0040_0016,oahuoahu0040_0017,oahuoahu0040_0018,oahuoahu0040_0019,oahuoahu0040_0020
2020-02-24 20:47:39.000,161.9492108923104,158.2752203015202,160.8389111190203,168.3630185822318,169.54549250948153,170.89249709248085,168.10247248068904,168.01789507676298,165.03145449095987,163.51005065491717,159.87002805028683,159.48745830450102,158.62234137476776,160.80105412188823,163.13646704949275,162.10750477899143,26.562320086761503,26.538470359576213,24.758985623293874,25.283970202443136
2020-03-03 20:47:18.000,155.98331214826868,151.89229615326803,154.3211056682188,162.60649764280055,162.12487061581064,166.16652976352256,164.09862134734533,163.8315813238452,160.84933177752828,161.1550717669149,157.01906171479365,155.90636810770607,156.4771590350392,156.62804687128357,150.93592704918404,,26.115855679280862,24.76823874792609,23.2287579553964,25.00441140641523
2020-03-05 20:48:57.000,147.8927556940218,146.54256459458233,148.52557554394895,153.50520382376655,150.4507160816226,,,,,,,,,,,,11.245321713445326,9.32916551245776,9.936340000184506,10.994372999372525
2020-03-07 20:46:51.000,,,,,187.59273815469643,184.4097702193821,185.85339313906388,181.62646910628467,178.68815780151692,174.70298376164547,170.0954531780194,162.13511101019975,162.88015137017308,163.2331714820414,165.75933540299735,163.66593768582106,29.58760643450664,30.3916833445022,28.053181397446444,30.912718910050017
2020-03-10 21:09:53.940,,,,,,,190.7152063319772,188.10536480109172,,,,,,188.6009002917204,176.39321177663746,173.33787847885557,,,,
2020-03-10 21:09:55.990,,,,,,,197.7680787507232,195.8386085320292,,,,,,,,178.6792240854125,41.40485594677567,50.80413796433224,46.28087502780987,40.75153661072304
2020-03-10 21:16:29.430,,,,,,,185.7673812659733,169.98643070930245,164.50416377245324,163.0263529199394,157.80776897460836,151.4968749630649,,,,,,,,
2020-03-14 19:21:26.000,,,,,,,,,,,,,,,,,,,,
2020-03-20 19:19:00.000,153.62259688795027,151.51978215631468,154.51788919929248,162.80328117387424,165.751800039664,167.88627393969682,164.3673811087048,163.63965880545865,161.04611530860197,160.08362705542407,154.0527659508217,154.52639648439433,153.40238378656437,151.74359650149572,149.2984550819062,152.7865848099009,,,,
2020-04-16 20:45:01.000,,,,,,,,,,,,,,,,,,,,
2020-04-25 20:45:34.000,,,,,,,,,,,,,,,,,,,,
2020-04-26 19:12:16.000,,,,,,,,,,,,,,,,,56.85413634724643,,,
2020-05-04 20:18:44.850,170.0962084084382,166.12720291116565,167.46988668873882,172.3496186923236,176.1115450651529,177.32763749561542,174.9002520032878,171.8546143749291,170.57525271130714,166.48745888584995,164.4993789327571,159.27989128709686,157.9758395414359,160.14396332002227,156.67214545037345,157.83476934291102,,,,
2020-05-04 20:18:47.070,166.6647377094822,166.22157171904217,171.45883487236787,176.958689603597,180.68218249360945,178.8852198077277,178.22008746172338,175.66116058362508,173.57014548704524,172.65634895624632,169.20654207434123,167.50096736213254,163.20072158138905,165.99917087475472,164.3410958599739,168.72276183285658,35.226130564938515,34.943157938903084,33.11581760416159,31.86986034398737
2020-05-12 20:18:27.190,,,,,,,,,,,,,,,,,,,,
2020-05-14 19:11:55.000,163.87262955522567,161.57412711983656,164.4735458646027,171.2212201702351,174.69548154333395,174.9835175526443,174.928263137889,173.38781170433947,171.97756832099174,169.09983965667928,165.39476652304108,166.91148657826028,164.60943994497973,163.51930546433636,165.9896166454689,166.01689582436873,30.332671309172213,31.91195439166785,28.712215482517,30.79184206837157
2020-05-15 21:11:39.010,180.3947522164068,180.28409440023137,183.3143429571428,182.9830754607568,179.29499303507689,175.70720223515028,177.6860993022158,189.4280704499772,180.3941099624772,174.04843467417223,174.20883495206016,170.4875143363566,170.28580629073542,165.96658447054372,163.93069992007258,162.79988508854117,46.40554549159098,44.999770638325415,43.232601766055325,
2020-05-17 20:46:09.000,,,,,189.077922242452,184.0544496430182,181.8593408168177,183.01379088851704,182.61974967985023,174.01245272494842,167.02787664737005,161.60922591562831,158.24973203005914,148.76608534616037,137.59656543742472,138.34708184679334,19.55244918448679,20.940389998000114,16.013151600303924,1.6881785471264397
2020-05-22 19:10:32.000,,,,,,,,,,,190.31008182614,189.18419951220008,,,,,45.31768354137102,48.45548130672669,,
2020-05-28 20:19:00.970,,,,,,,,,,,,,,,,,,,,
2020-05-28 20:19:03.170,,,,,,,,,,,,,,,,,,,,
2020-05-28 20:49:02.000,,,,,,,,,,,,,,,,,,,,
2020-05-29 21:12:10.630,,,,,,,,,,,,,,,,,,,,
2020-05-29 21:13:16.290,,,,,,,,,,,,,,,,,,,,
2020-05-31 20:48:10.000,,,,,,,,,,,,,,,,,,,,
2020-06-15 21:11:59.450,174.33458221152551,167.98539880284042,175.31398464827336,190.50800695674576,186.4505983816711,180.7828579126696,179.88343776439908,187.639315469248,183.42856879913447,179.88723946439947,168.02987336348943,157.22094476053954,,175.5536358990469,174.47700607235046,184.2456948098284,51.41260746752391,57.25025198220676,,
2020-06-20 20:46:20.000,,,,,,,,,,,,,,,,,,,,
2020-06-22 19:05:45.100,,,,,195.48045913112105,187.6883900997717,184.2788803073969,181.24206004525112,175.14433664264072,172.94793072429573,171.44569497977213,187.47553609916463,,,,,40.21122857299675,,,
2020-06-24 19:05:18.000,182.93436630659124,175.0182735290148,175.35358437728257,175.63353044652897,174.9121831300056,177.3693370217157,177.66074517846386,173.5350284372637,170.77979299992086,168.21508005243672,170.84593856575867,164.7750390749493,172.21240035619743,183.22029048789045,,185.441621137554,32.75100849906119,34.713954462870696,32.55880297287777,31.508364843197143
2020-07-06 19:04:10.000,181.83088510359653,174.52807575037744,172.9108258618114,174.71682017555943,176.2430744997537,176.11686382708731,173.58788117415014,170.64604904010767,170.41875578328936,165.6688537104922,166.26349389860144,161.49785023700244,159.59744306402683,164.52871923145833,181.6500329186039,174.02652182103134,27.833118122866217,27.937181167795128,26.05355228359595,26.6883270182608
2020-07-06 20:49:41.000,,,,,,198.25611642665945,,,,,,,,,,,,,,
2020-07-10 20:46:47.000,,,,,,,,,,,,,,,,,,,,
2020-07-19 20:49:11.000,,,,,,,,,,,,,,,,,,,,
2020-07-20 19:00:24.000,182.2622151539762,178.70489818681511,172.38142776381147,175.88760153539022,176.05112477799975,174.67485890744769,179.8172362050325,178.63505293570267,169.89720345820749,163.2357307413382,160.41392083317265,158.80463883924253,160.61504860836789,164.02185700247435,175.48021721565675,169.96530837633352,26.607753824978275,27.16217419267409,25.313980162835072,23.649849656764115
2020-07-20 20:21:06.310,165.20821790081737,162.72662819436138,168.51013701490257,173.1693684555498,174.8314225204943,174.1170917319809,172.45652284672735,172.3670864665354,166.94615008147127,165.4860283974314,161.6988631068512,161.92060959539725,161.9420166114828,159.7728623011984,158.9533958648846,162.06786289156096,30.564653007833737,30.868825813516384,28.454211895043688,27.141374715601163
