dates,oahuoahu0044_0001,oahuoahu0044_0002,oahuoahu0044_0003,oahuoahu0044_0004,oahuoahu0044_0005,oahuoahu0044_0006,oahuoahu0044_0007
2020-12-06 20:49:07.000,145.5248390852845,144.8315934034202,143.32512373418197,139.4202156448085,140.36629348455526,146.12976468051468,144.34650406546953
2020-12-07 20:43:20.000,145.38132128807948,147.3901875755493,144.53188331877496,142.60061188420997,143.2596890366368,146.95615944278248,145.62391439704786
2020-12-10 20:27:55.290,,,,,,,
2020-12-10 20:46:21.000,,,,,,,
2020-12-11 20:43:42.000,144.32947956576606,144.6338304065306,141.43555211620622,137.06166194057178,138.10964668698975,143.58752813549413,142.14209245339404
2020-12-13 20:45:49.000,142.08778902272962,145.79329599737213,142.4348158380147,141.22294444069252,141.22859101901878,144.64192541949484,143.77690068466418
2020-12-17 21:23:01.250,142.5662902207756,142.2552955715541,142.0796905423754,139.2913505604684,138.85093524302124,146.28453329164114,143.91221587862802
2020-12-21 18:34:32.000,,,,,,,
2020-12-22 20:44:14.000,144.26787366505454,144.5722245058191,139.89966100465088,138.41092410240606,139.85148501713658,143.5525699764652,141.17867949890464
2020-12-23 20:47:30.000,142.01861250856152,148.6061261161741,143.67576787648989,142.6407517394797,144.08694773061114,146.44370887087413,143.9493907101736
2020-12-23 21:03:09.290,147.87594151205153,150.8031858266124,138.29343030973692,117.43157363679418,,,
2020-12-27 20:26:20.620,149.5085369881025,149.6303438812823,145.0839372088839,144.3947542695348,146.91932170418644,154.1925944796107,153.65622376946442
2020-12-30 21:13:05.210,143.68872509302008,146.91975368084715,142.16998960880233,140.7135801656086,141.14886560055675,146.04477726966454,145.0329667884623
2021-01-04 18:31:59.000,,,,,126.88067216177431,,
2021-01-04 20:44:21.000,144.5191110034798,151.23325737683462,148.60106394353704,145.60717543306433,145.79265637459585,151.8194704888012,148.98560009270167
2021-01-07 20:28:50.430,,,,,161.61248784435105,163.87266501868268,153.05659072786233
2021-01-07 20:28:52.710,174.88275370986702,,,,,,
2021-01-08 20:46:47.000,150.38065025309874,150.2664813194212,149.65895122797957,145.19237006893823,144.66258925879154,148.44052241386677,144.57093268719547
2021-01-09 20:48:02.000,150.21784592822678,155.2591757761199,151.18748988762573,147.05626390011176,147.8897605797734,149.69448886961683,148.2748132193882
2021-01-12 20:46:42.000,145.6939155488636,148.7898551213929,143.9170053463143,139.66733161496663,140.7625745376092,144.71329402539808,142.8895665682296
2021-01-13 18:29:42.000,,,,,121.7754836706291,130.3709141322191,
2021-01-16 21:09:19.010,148.34468262445512,150.88102131505502,147.71590774149652,143.5324947163533,142.82423980517373,144.83402177850053,143.2786093734838
2021-01-27 21:11:15.540,133.56280908143086,137.35505939366394,138.1408164910958,137.36513854839873,136.4142330294949,138.73921100681733,138.79895840433056
2021-01-30 20:54:53.000,151.78268801090084,153.18706375318868,150.73582647892752,146.01437573050805,148.37686848384328,152.55939204129555,149.439449180486
2021-02-02 20:49:05.000,154.48465441917733,160.58405766958683,165.05295549176938,161.4313274766732,156.9757630186102,156.64168748432328,156.27230660527707
2021-02-07 20:25:50.830,146.31028314937407,147.88052328820103,145.34971733570993,138.4490280107249,138.50515885073216,144.55100690136797,141.31729093216728
2021-02-08 21:09:58.730,149.20132641689435,150.0364175902071,148.1296327588706,144.26917220473564,144.02939210130356,149.05677258239618,146.66727919525292
2021-02-16 21:00:45.360,158.26047786081085,162.05450519906677,160.8559518376974,155.41776822314205,154.25111503778788,157.257915764508,155.5408757358545
2021-03-03 21:28:05.810,147.66390123829177,148.00019415029007,146.09340931895358,142.25526536187766,142.72868452850682,150.92717057833832,150.8606146663605
