dates,oahuoahu0016_0001,oahuoahu0016_0002,oahuoahu0016_0003,oahuoahu0016_0004,oahuoahu0016_0005,oahuoahu0016_0006,oahuoahu0016_0007,oahuoahu0016_0008,oahuoahu0016_0009,oahuoahu0016_0010,oahuoahu0016_0011,oahuoahu0016_0012,oahuoahu0016_0013,oahuoahu0016_0014,oahuoahu0016_0015,oahuoahu0016_0016,oahuoahu0016_0017,oahuoahu0016_0018,oahuoahu0016_0019,oahuoahu0016_0020,oahuoahu0016_0021,oahuoahu0016_0022,oahuoahu0016_0023,oahuoahu0016_0024,oahuoahu0016_0025,oahuoahu0016_0026,oahuoahu0016_0027,oahuoahu0016_0028,oahuoahu0016_0029
2019-08-08 20:46:31.000,27.71771396824643,20.58811433699138,21.48558786627288,22.528963166512582,26.931869087996663,23.341083523875472,22.377428118018592,23.70054798811088,30.2691382301996,30.95400092633531,30.116702568043767,38.96269577686127,35.97908281611083,31.496821229368614,40.52022808182127,42.8324005301465,39.51799793110551,36.429407146537656,51.048265876382544,35.68293838345117,32.55662510662075,30.90234270668906,38.12295549303724,30.546527535174537,29.77421440989056,30.968900525795625,24.15081281415746,22.220519374164848,26.79805271451
2019-08-08 20:46:32.000,27.720248597517564,21.137477251283944,22.11687442227004,23.456115048275155,26.8149126083666,22.984213393915017,22.353413049268884,24.87299161020004,30.696599192872625,30.89063859309268,31.21624197269317,39.37816757145593,36.588050422313536,30.385358626561324,40.914533137843655,43.6202004433862,40.473354347895146,37.11126886240494,52.304740806100384,36.20126937438716,32.08867103237019,,,,,,,,
2019-08-08 21:03:48.170,29.90571424894601,25.72541789461288,34.48595740858752,35.69386382617179,33.698992747242215,,,,49.50916902608728,,,,38.43649822643109,30.729737442476058,39.18892915644732,41.63872718297544,38.385441214119744,34.0790572215268,50.90049322775355,33.55831511943356,29.61854162709474,25.43994584208611,28.937418662763925,29.404963047251343,28.657093229034107,26.546854058662213,24.062189556904343,18.536605120516924,
2019-08-09 21:29:27.520,13.90194551997471,6.570383483972884,6.767816521918354,7.567766495093152,12.559758027577674,10.174852848745328,9.72205555451335,11.066038863313018,13.8186360894738,16.270524356398315,20.7346275372901,30.394933275771965,31.464480836522043,30.50723351305352,31.18944234511176,24.71446629361127,19.354043587355708,26.40348962414728,40.98971313908101,26.343448364384564,22.77703947440859,23.470993932259155,23.68979310887479,22.195386102301367,22.94621552072928,22.52128347547832,19.12052953558764,14.08302834585358,13.425032374595284
2019-08-10 20:44:18.000,24.78193355283097,18.94592905691843,19.46022207237712,20.77801447113852,23.88050488370103,19.38575415423768,18.681951671878625,20.41875410500664,25.87368200197469,27.31915290698289,30.1443422837766,37.06810182642914,34.650095962208304,28.211191500254387,38.04732011168219,39.6830904055572,34.049366667072334,29.660897446520977,46.7437606144156,31.18454610668397,26.544862995143127,23.672692078495373,24.40960699113309,23.30782103998081,22.32678913865142,22.34467675708794,21.214129389324427,15.248517682814017,9.465758680938563
2019-08-10 20:44:19.000,23.57124298166684,18.64989290799989,19.342005864883458,20.63923312886608,22.7866327143265,19.733557758972985,18.19517593282903,19.028134453450114,24.89473677842253,26.155222216388243,30.971090882330568,38.54237391864062,34.63067521164625,27.71324294565232,40.329740985802864,40.74869328393099,34.864144585356314,30.081258502541605,46.36359400196249,31.374521371513588,26.708236040788417,23.53483148044664,24.4306123665244,22.52929631022677,21.805232608396206,22.19546520516268,22.226838079872262,,
2019-08-11 21:00:23.240,19.73968807670837,15.124865959295374,16.404873383464636,17.0017145772634,17.86755013069771,14.304612295912408,15.021011991884867,17.352257639075145,21.166907324144628,21.46656451032215,24.575968507275373,30.62061830770064,31.61645070463374,25.02241649378754,26.559866549403072,22.80197718665123,18.9258003699378,28.187855261118216,48.55034048860875,30.859367510959817,24.55851695248859,22.603925461930867,20.42854343968486,20.31681788681016,21.96795303819874,21.055457160498097,22.220794237171432,14.752288112102349,8.21906951926812
2019-08-12 20:47:12.000,26.16354818568581,20.004909612718496,20.983506790666205,20.60846816340556,24.69945388146586,20.44797480717765,19.894050239821777,21.49203996799053,27.520469480766995,27.74934881208732,31.154398680785967,38.379286851824304,37.07795118959884,32.26571216836388,39.28480241457562,42.866565729979165,35.45680050033962,33.27755449684734,49.022646441568405,36.250992525551226,31.11331325972497,27.546914766012883,24.674896572399827,24.24729147765332,25.55662283248497,27.09552931749956,23.37686348437536,17.25735544891529,15.229309804332807
2019-08-13 20:47:38.000,,,,24.74377098034156,24.052932289784003,19.57225060067176,18.918742587623445,20.525657451651696,25.824456374432767,26.39383083566729,27.25764305544116,35.494764329063024,32.84965550590741,28.632451893723804,38.59848782359634,40.42979294458266,36.58327219856361,34.83219072393505,49.98811448745526,35.10082310712809,26.68899882047362,22.70998517236972,26.132356790384133,24.090013201027645,26.41606972843455,,,,
2019-08-15 20:36:14.000,,,,,,,,,,,,,,,,,,33.93950476981715,47.24279359725587,33.99391153838464,29.92299726937531,28.661241121055888,32.77646782361196,25.97189969366863,28.045760090928805,28.91952123364973,23.463923708281264,18.374533604586848,14.02808328675271
