dates,oahu0079_0001,oahu0079_0002,oahu0079_0003,oahu0079_0004,oahu0079_0005,oahu0079_0006,oahu0079_0007,oahu0079_0008,oahu0079_0009,oahu0079_0010,satname
2017-02-17 21:02:13+00:00,-3.458769019434322,,,,,,,,,,L7
2017-03-05 21:02:21+00:00,,,,,,,,,,,L7
2017-03-06 20:53:52+00:00,-1.2657509721401814,-4.083575474838489,-9.997361835674091,-9.06756534649266,-6.721275831338503,-5.3661844215502965,-3.490771293485461,-6.944264176676125,-8.23736904358234,-5.21499090034922,L8
2017-03-07 21:09:16+00:00,0.5140609410522625,-4.688079067831314,-8.908902707621076,-7.54147233944311,-6.745301465352222,-5.780793764595644,-1.2888321374999758,-2.030468253323814,-1.8033527843178443,4.214535125123702,S2
2017-03-13 20:59:58+00:00,2.397701773490469,-3.877702699792281,-9.341360939624298,-8.29508994158661,-4.672978213295292,-0.6201491039400043,1.3427961934788215,-5.92563908631988,-5.7860821943665774,-1.2955582993885764,L8
2017-03-14 20:56:14+00:00,,,,,-11.658888316874105,-9.621933403842794,-6.818787633958885,-7.025285291954605,-7.256500079965378,-6.79466292144004,L7
2017-03-20 21:19:08+00:00,-7.911313511395704,-10.061333529604603,-15.24105046005008,-15.142545952948298,-14.169164259061244,-14.15510494716197,-10.142109717741835,-11.089965612931422,-10.11297515283349,-5.7122238954266935,S2
2017-03-22 20:53:41+00:00,1.270861797529907,-2.760479933615576,-9.549911085838822,-7.908921427671612,0.4373005892522316,2.846232520236612,6.509718431974296,-5.215053665337386,-7.2370916311047955,-0.4427094034055734,L8
2017-03-27 21:09:18+00:00,-0.956657883787834,,,-27.752585687234067,-27.19678619272438,-32.86711964123448,,,-33.72564177206802,-23.81686545371183,S2
2017-03-30 20:56:18+00:00,-14.67744336518863,-14.068201968773831,-11.595823397116476,-9.368306521969958,,-10.512386801601282,-16.69443947197883,-18.333391856053627,-15.663132190089163,-8.30989790026435,L7
2017-04-07 20:53:35+00:00,-2.5249107709463914,-8.844012564051862,-12.52122414337832,-13.264739355232956,-11.143488026789804,-9.62532123346469,-7.207902642723522,-12.154220908833343,-13.281244453289068,-6.069633823876355,L8
2017-04-09 21:19:14+00:00,-6.605980806501254,-9.803966237507174,-13.950185916075146,-14.52157868324194,-14.16033306688902,-13.645018159370393,-9.24937708310277,-10.032808827679778,-9.116970401503918,-3.1145733751803952,S2
2017-04-15 20:56:24+00:00,,-14.447492559198889,-17.737545516521806,-17.829098592392842,-15.152355678171023,-11.845366032171388,-7.041831001791689,-7.543361112601373,-6.219417007029277,-3.555608854158676,L7
2017-05-01 20:56:30+00:00,-9.79221186903873,-11.260986089143126,-17.046429684460644,-15.486367229080136,-11.74373357809405,-9.970052352100096,-6.151450008464487,-6.351309568341864,-9.757732679883947,-3.070032992723302,L7
2017-05-06 21:09:26+00:00,,,,,,,,,,,S2
2017-05-09 20:53:25+00:00,-5.705999931002575,-8.841532227164148,-13.137243551681104,-14.105879004340869,-14.17014745920747,-14.803904895927456,-10.517741307356037,-14.077810134920234,-15.155833565911689,-9.541735121293268,L8
2017-05-19 21:19:19+00:00,0.4345504045790695,-0.4702393108247028,-4.905036268049014,-4.249043188600721,-3.073831880612828,,,,,,S2
2017-05-26 21:09:26+00:00,17.658325816083494,11.967379873056704,3.588663208173113,4.672263757611884,2.968602458154725,5.468865294864127,9.48495104427029,5.865098629309469,4.8231104785036365,6.271404358268827,S2
2017-06-01 20:59:51+00:00,-16.120540279985367,-16.777535529186753,-22.74024205026249,-22.564953876483177,-22.39382013542569,-20.748072923086784,-16.329103967311518,-19.451773539654184,-21.43827583979305,-15.147487089106749,L8
2017-06-02 20:56:37+00:00,,,,,-21.88318541524248,-23.449269527580025,-20.28050272779923,-20.267006695398987,-19.701169679563627,-12.80728663875188,L7
2017-06-28 21:19:14+00:00,-2.77598247047652,-7.536205810738398,-11.72075038500441,-11.430754157550169,-9.756348323841946,-9.71192202885852,-8.072525672568254,-10.172876124407512,-12.165901566464228,-8.900748236004933,S2
2017-07-05 21:09:23+00:00,2.173901746177429,-2.95826489235804,-7.992586193765432,-7.430442437878098,-5.19831120857225,-4.483675292129614,-0.9238750077520432,-6.657029641721809,-4.178396970504129,2.873251328165097,S2
2017-07-12 20:53:52+00:00,-5.708117553514408,-8.501166174402895,-14.178993589156876,-14.795192981490166,-12.576410307490567,-13.545711354632608,-11.11001305057104,-13.66972788596892,-15.062758707980588,-11.037709370023236,L8
2017-07-13 21:19:16+00:00,-15.02673676890059,-19.26507819284776,-25.760750687987866,-25.408737241665165,-25.28350139923415,-22.27113559113606,,,,,S2
2017-07-18 21:19:17+00:00,1.6018374292632194,-2.329789035128132,-6.655033440659482,-5.735133867020316,-3.832219058995627,-2.932197396829648,0.5448699668537116,-0.5984894863155836,1.3713786544224913,4.539375868164054,S2
2017-07-19 21:00:06+00:00,,,12.685152813942432,12.630773140454204,12.487846709444296,11.525632939061724,14.04661197368029,11.310491948786098,,,L8
2017-07-20 21:09:23+00:00,-3.912994136483405,-10.044848233991086,-14.76112903264905,-14.903622476294606,-12.93736714763366,-11.815800050886487,-7.242498606790493,-8.217115477061817,-4.593713228962561,2.66650247290891,S2
2017-07-25 21:09:25+00:00,9.854374323437508,6.079853959420605,-0.5254947446135294,-0.7160945752723231,2.24765414504935,5.213696384990571,7.003324269053831,1.449029922075264,4.674425484665367,4.751171326400761,S2
2017-07-28 20:54:00+00:00,-1.6864339184074495,-8.078597281211568,-12.373784056801194,-13.569395509109956,-10.413950400159848,-10.317562888856964,-9.635661555650076,-13.921301484962688,-12.81644126711162,-6.914533512276911,L8
2017-08-04 21:00:13+00:00,5.047971962519122,7.379466782836042,4.1831382575375775,4.884154204926432,5.36068071876558,6.112736544226271,9.403616345093372,8.015627047886156,8.831043432193546,,L8
2017-08-05 20:56:41+00:00,9.070779510332786,,,,,,,,,,L7
2017-08-09 21:09:22+00:00,6.111238015537577,4.787369579930749,-1.796024158371787,0.0698779446628905,4.356699126627828,7.439123653160136,10.104968636381075,3.184900361131781,4.061226048589888,9.119600862512913,S2
2017-08-12 21:02:50+00:00,-12.13142766797698,-15.984963699057465,-24.384214714281704,-22.700670536477787,-22.12657643242722,-21.90480676664103,-19.16017501230688,-24.1294742982096,-25.76176264504512,-17.68812404811498,L7
2017-08-21 20:56:40+00:00,-10.362627677656429,-15.092580225631217,-21.333088347519105,-17.11594262554947,-15.844582829050823,-11.814959663422512,-12.37887154106671,-20.92504777137288,-20.9731217297798,-10.749692563008283,L7
2017-08-22 21:19:12+00:00,-8.168615725719617,-13.76286841576746,-18.210788064044568,-17.77886936284811,-15.31721516770907,-13.284580279455655,-7.535689661571213,-4.918993817533646,-0.8756063905372187,8.406734036164869,S2
2017-08-28 21:02:51+00:00,,,,,,,-20.341611495542057,-18.426068747713096,-15.694853837251385,-8.604372384608261,L7
