dates,oahu0104_0001,oahu0104_0002,satname
2012-10-17 20:56:00+00:00,50.84184518790768,51.95316320272572,L7
2012-11-02 20:56:05+00:00,54.76990539662949,55.15300679216397,L7
2012-11-18 20:56:13+00:00,29.338372128498893,,L7
2012-12-20 20:56:22+00:00,55.29194061170973,59.06936807778402,L7
2013-01-21 20:56:25+00:00,,,L7
2013-02-06 20:56:27+00:00,48.4520526612724,50.16596890493214,L7
2013-04-11 20:56:15+00:00,,,L7
2013-04-27 20:56:09+00:00,,,L7
2013-05-13 20:56:07+00:00,44.53425765979261,43.09627032706603,L7
2013-05-21 21:02:16+00:00,13.856645846882405,9.45274810482088,L8
2013-05-29 20:56:00+00:00,44.37071330490118,41.762772210928816,L7
2013-06-22 21:02:09+00:00,25.60443821739288,29.6649632611683,L8
2013-06-30 20:55:46+00:00,,,L7
2013-07-08 21:02:14+00:00,24.946634398858155,37.24096103167391,L8
2013-07-24 21:02:12+00:00,42.43396793376844,43.14694526781099,L8
2013-08-09 21:02:15+00:00,41.27103288688063,41.84163473617938,L8
2013-08-17 20:55:33+00:00,,,L7
2013-08-25 21:02:17+00:00,38.05595302748655,45.61137224667063,L8
2013-09-02 20:55:44+00:00,,,L7
2013-09-18 20:55:55+00:00,49.37902115966035,52.45636381891941,L7
2013-10-28 21:01:57+00:00,33.78633393660371,38.22807243258607,L8
2013-11-13 21:01:57+00:00,40.81833431186373,49.97173486596135,L8
2013-12-31 21:01:38+00:00,52.177818208152985,55.66681147761073,L8
2014-01-16 21:01:23+00:00,,,L8
2014-03-05 21:00:48+00:00,50.02779191136917,52.21458926883882,L8
2014-03-21 21:00:38+00:00,50.99320073580116,52.126503846766354,L8
2014-04-22 21:00:07+00:00,45.802452810337215,46.428592574934285,L8
2014-05-24 20:59:45+00:00,,,L8
2014-07-11 21:00:06+00:00,32.24442229690754,35.30920476110968,L8
2014-07-27 21:00:09+00:00,37.74814617746552,38.99948425489948,L8
2014-08-12 21:00:17+00:00,34.255901796150994,37.64328285311107,L8
2014-08-28 21:00:18+00:00,30.701084271369457,33.285504916123216,L8
2014-09-13 21:00:23+00:00,25.102212061544098,32.109620538781805,L8
2014-09-29 21:00:23+00:00,33.76980684011267,39.44739616383506,L8
2014-10-15 21:00:28+00:00,38.357672280220015,43.03377591253141,L8
2014-10-31 21:00:25+00:00,39.82785550128946,44.52164041824565,L8
2014-11-16 21:00:26+00:00,50.13076285532136,54.097715832100285,L8
2014-12-02 21:00:25+00:00,49.77801671562908,53.1943549250057,L8
2014-12-18 21:00:22+00:00,52.26046420883437,56.48689817703078,L8
2015-01-03 21:00:17+00:00,45.01043918553563,52.54244452908843,L8
2015-01-19 21:00:13+00:00,53.495465206563615,56.05629137628332,L8
2015-02-04 21:00:10+00:00,50.17785109898863,53.77934449895883,L8
2015-03-16 20:59:13+00:00,,,L7
2015-03-24 20:59:46+00:00,36.80410871776002,44.40757127155474,L8
2015-04-09 20:59:36+00:00,41.64476675793361,45.3095182993995,L8
2015-04-17 20:59:28+00:00,,,L7
2015-04-25 20:59:33+00:00,24.59657297010688,26.638465362871013,L8
2015-05-19 20:59:42+00:00,35.43062614328385,32.79799390380819,L7
2015-05-27 20:59:18+00:00,26.46147993549896,30.363207256625017,L8
2015-06-12 20:59:30+00:00,26.2942023794136,25.02782318954621,L8
2015-06-20 20:59:51+00:00,41.55855744920672,37.95769928745308,L7
2015-06-28 20:59:36+00:00,12.434404706153314,8.671944720345259,L8
2015-07-06 20:59:56+00:00,,,L7
2015-07-14 20:59:47+00:00,36.35925439929003,32.60909288547358,L8
2015-07-22 20:59:59+00:00,34.909373037446485,30.682650617150017,L7
2015-08-23 21:00:05+00:00,39.098777157590455,42.080874240768885,L7
2015-09-08 21:00:08+00:00,48.57646392891335,49.51628557644653,L7
2015-10-02 21:00:15+00:00,48.40363933625057,53.06483738509711,L8
2015-10-10 21:00:21+00:00,,,L7
2015-10-18 21:00:16+00:00,29.24247908908043,49.93858878825411,L8
2015-10-26 21:00:38+00:00,50.48737877296436,56.1672383806325,L7
2015-11-11 21:00:53+00:00,,,L7
2015-11-27 21:01:07+00:00,,,L7
2015-12-13 21:01:23+00:00,,,L7
2015-12-21 21:00:23+00:00,53.32398051055589,57.26674208405385,L8
2015-12-29 21:01:36+00:00,48.55622998210893,51.01711027976289,L7
2016-01-06 21:00:18+00:00,50.940984638384215,56.1266367264402,L8
2016-01-14 21:01:52+00:00,53.09218525400445,58.091367287729454,L7
2016-01-22 21:00:19+00:00,49.34139866723436,51.964133385342656,L8
2016-01-30 21:02:02+00:00,,,L7
2016-02-23 21:00:08+00:00,44.61416135319771,51.21388009896507,L8
2016-03-10 21:00:06+00:00,48.80447600823194,50.98983112839301,L8
2016-03-26 20:59:57+00:00,50.45995999416362,50.859252433122926,L8
2016-04-14 21:19:19+00:00,34.971372380652326,42.778536200786526,S2
2016-04-19 21:02:32+00:00,,,L7
2016-04-27 20:59:47+00:00,33.52738165818895,39.490979269799226,L8
2016-05-04 21:19:23+00:00,16.965162205985163,18.88371622482595,S2
2016-05-05 21:02:37+00:00,,,L7
2016-05-13 20:59:46+00:00,21.985731300304227,25.56998451541944,L8
2016-05-14 21:19:24+00:00,1.825931109898636,,S2
2016-05-24 21:19:24+00:00,17.473257883831593,17.213112638866036,S2
2016-05-29 20:59:53+00:00,25.54584882341109,30.250867418693367,L8
2016-06-03 21:19:23+00:00,9.17878043374442,7.843669944561649,S2
2016-06-13 21:19:22+00:00,6.862335157054288,,S2
2016-06-14 20:59:56+00:00,22.214879726651,24.218415793812525,L8
2016-06-22 21:02:48+00:00,42.00016892919086,43.54879782787234,L7
2016-06-23 21:19:19+00:00,,,S2
2016-07-08 21:02:48+00:00,,,L7
2016-07-13 21:19:23+00:00,17.698506937292947,13.6170424082334,S2
2016-08-01 21:00:15+00:00,28.694989328607694,35.19387175637319,L8
2016-08-09 21:02:51+00:00,18.04899360082002,14.302510578734656,L7
2016-08-22 21:19:20+00:00,16.691658915884727,11.514570263646108,S2
2016-09-01 21:19:19+00:00,,,S2
2016-09-02 21:00:26+00:00,28.93104488190161,34.204336058444895,L8
2016-09-21 21:19:13+00:00,23.99770094421586,23.927597116996527,S2
2016-10-12 21:02:59+00:00,,,L7
2016-10-21 20:56:47+00:00,,,L7
2016-10-31 21:19:14+00:00,33.82071463327425,36.05366520271179,S2
2016-11-10 21:19:14+00:00,31.39838941748648,33.62593921260481,S2
2016-11-13 21:02:47+00:00,,,L7
2016-11-30 21:19:14+00:00,31.83341249270126,38.64926786620026,S2
2016-12-15 21:02:40+00:00,,,L7
2016-12-20 21:19:10+00:00,29.584706209722288,32.779235084211514,S2
2017-01-08 21:00:25+00:00,51.27866331706216,59.35918354258095,L8
2017-01-16 21:02:22+00:00,53.22707954572347,57.10538349166782,L7
2017-01-19 21:19:05+00:00,26.593117193013324,,S2
2017-01-29 21:19:09+00:00,39.36837945678964,47.78848424361361,S2
2017-02-09 21:00:12+00:00,23.093876644454674,25.899416919626937,L8
2017-02-17 21:02:13+00:00,,,L7
2017-03-05 21:02:21+00:00,43.80748566000496,49.35434716270344,L7
2017-03-13 20:59:58+00:00,52.68146206334788,52.99782116044594,L8
2017-03-20 21:19:08+00:00,28.04708416941951,26.796943600417105,S2
