dates,oahu0067_0001,oahu0067_0002,oahu0067_0003,oahu0067_0004,oahu0067_0005,oahu0067_0006,oahu0067_0007,oahu0067_0008,satname
2017-04-09 21:19:14+00:00,,,,,,,52.32589966045244,51.36368802096187,S2
2017-04-23 20:53:25+00:00,,,,,72.73489367978463,80.67465706441689,,,L8
2017-05-01 20:56:30+00:00,20.27750157872148,18.678602624981018,14.225412478595262,24.678104109721826,33.18922214967516,42.398127683039206,50.62968026580294,,L7
2017-05-06 21:09:26+00:00,17.369005227467603,22.66440783845229,27.868364385107203,34.43836810120231,41.08248147915816,48.659540264937824,53.97998105289295,52.21014451383692,S2
2017-05-09 20:53:25+00:00,25.326653738779275,30.66755990343056,31.206176531033208,42.42373640586659,55.01277955192768,63.5290979073014,63.846509630906205,62.82232771092415,L8
2017-05-19 21:19:19+00:00,,,,,,,39.49696786999114,37.115388268934254,S2
2017-05-25 20:53:36+00:00,26.080709946480724,31.69958012661104,34.76842664079064,43.08816964518919,50.7504695268318,59.84418706447924,68.80624343116348,67.36681706174825,L8
2017-06-26 20:53:49+00:00,23.90987409557737,30.00122325358364,39.09475662463282,49.97324607675901,57.52835033505568,65.4126307833309,69.80535814800619,67.72703358863745,L8
2017-06-28 21:19:14+00:00,,,,,,,,,S2
2017-06-30 21:09:23+00:00,23.01598239425395,27.974038538756307,30.07355874025404,39.67562809595025,46.77706207359601,54.58115396532336,59.59427317251389,59.17211936753624,S2
2017-07-05 21:09:23+00:00,23.78344348395773,27.00870572364104,31.21593411053985,40.65229439348617,47.74541216431824,55.66572675085668,60.57152614742876,59.81497617567122,S2
2017-07-12 20:53:52+00:00,24.97293773446339,29.3636926875637,36.63911946338234,47.54281828710214,55.67954487604619,62.46423429759294,69.26685947830543,65.70985785827152,L8
2017-07-13 21:19:16+00:00,,,,,,,,,S2
2017-07-18 21:19:17+00:00,,,,,,,41.97109330318311,39.87208381747023,S2
2017-07-20 20:56:43+00:00,31.71586412476002,,,,,,,,L7
2017-07-20 21:09:23+00:00,26.29306802280585,28.958008078552737,31.52974528160087,41.63140768354561,48.73229425950828,57.494471318182846,62.197225154917,61.558641346226594,S2
2017-07-25 21:09:25+00:00,,,,,,,,,S2
2017-07-28 20:54:00+00:00,27.78272740585964,33.09800770344319,40.34822558765916,42.013336272980695,50.68921999094513,56.28509488002378,61.45937948441874,63.20763016212675,L8
2017-08-02 21:19:15+00:00,,,,,,,57.40319412980463,,S2
2017-08-05 20:56:41+00:00,4.81157170843525,4.192165275329139,11.545369769740091,24.567142615249274,36.68264879281976,47.91533992361416,60.25326790936976,59.85196004269306,L7
2017-08-13 20:54:06+00:00,25.38514818224635,31.8526638175668,36.429692760469074,39.6216193565716,47.19780617765533,54.35706442276007,62.40213298454452,64.28236633167397,L8
2017-08-14 21:09:25+00:00,,,26.825710641844847,34.73317082415307,41.425880270979775,47.27742645643222,53.65230362367961,51.56460740031863,S2
2017-08-21 20:56:40+00:00,,,,,,,,,L7
2017-08-22 21:19:12+00:00,,,21.689085702657955,33.96924902614816,47.13425902736586,55.78028216817486,60.12809540824588,58.92743412234243,S2
2017-08-27 21:19:16+00:00,,,,,,,47.27575147409974,,S2
2017-09-11 21:19:07+00:00,,,,,,,,,S2
2017-09-14 20:54:10+00:00,27.291480848503188,30.97833438791764,38.88978207667343,46.755125061679145,56.03121531975897,60.45644072695421,67.24278580402122,68.03582456987502,L8
2017-09-16 21:19:13+00:00,,,,,,,50.39535301569335,46.46347915774504,S2
2017-09-18 21:09:12+00:00,25.85812830473128,29.14797966397204,34.178726375130275,43.24904007656088,49.08369114738555,58.32788788352023,62.74558160050482,62.14103279963964,S2
2017-09-22 20:56:38+00:00,,,,38.080424804784606,,,,,L7
2017-09-23 21:09:19+00:00,29.46944259192444,32.13185435420019,32.033418358739475,41.56061797419072,51.33948958397228,59.30612669556458,65.88897421978552,65.83048488573414,S2
2017-09-30 20:54:17+00:00,1.599097755812927,14.486799016437164,22.55514036280123,,50.74616355956778,60.4047193302807,69.98351720418891,69.43347373750561,L8
2017-10-06 21:19:14+00:00,13.50143238286919,10.999525668076831,16.653835246860716,26.239404929087936,39.26956388167999,47.893413051971855,52.5073349030728,51.376131023351135,S2
2017-10-08 21:09:09+00:00,24.30224689044824,27.30685568450373,29.551737230446182,40.385590791699975,49.30936232294329,58.753865738457975,63.26210783480859,62.17049262801035,S2
2017-10-13 21:09:22+00:00,14.14202228868279,19.323324732692534,23.258964555823727,32.87888075060808,41.03726575337279,48.64500788461403,54.03758230689341,51.57132612606027,S2
2017-10-16 20:54:21+00:00,,,,,49.07197887656706,56.56209814800821,63.54059464348645,64.71474829177507,L8
2017-10-21 21:19:03+00:00,26.706542686776416,21.47946841276215,28.85201989011656,40.00956889276086,51.56474529304205,60.48168795090975,64.98407454145607,63.45182398975797,S2
2017-10-26 21:19:15+00:00,21.69434629913125,17.36289830343497,24.33905469898644,36.53851244686712,48.933762691977634,59.40705230409915,63.84185278758851,62.58275461622449,S2
2017-10-28 21:09:10+00:00,26.190233691204604,31.38152408429905,35.21009441559143,46.71772200214623,55.711749361202784,63.19178116016116,68.29412624363451,66.63796195718841,S2
2017-11-01 20:54:21+00:00,31.99945162341852,37.61381349985262,34.25264708522888,42.16399220804606,48.935511725971935,59.32208690079632,67.39900135879128,67.81266353732032,L8
2017-11-02 21:09:22+00:00,20.700360386150773,23.05849568208632,30.1871688382321,40.328237076943,46.70312926280525,56.55650506708986,62.40913571622293,60.41157550558043,S2
2017-11-15 21:19:14+00:00,19.692786834305668,22.846564888338413,23.004963166658875,34.22464490464259,44.29622744072799,53.19549584371774,58.52671455530953,56.98408151025462,S2
2017-11-17 20:54:17+00:00,,,,40.14359617362396,51.81930810821689,60.94724950318742,66.73275098243116,65.60596145857203,L8
2017-11-17 21:09:11+00:00,32.42496052174484,28.206393481818125,36.47998596350564,46.84425994094956,53.57241195633297,62.42327175617394,67.662985268719,65.84872520280035,S2
2017-11-20 21:19:04+00:00,30.86792432870611,,,42.46730683870544,56.99974198124325,64.22735156368849,68.96476313520628,66.7736668551417,S2
2017-11-30 21:19:04+00:00,19.91313930842956,20.958607754092395,29.099355184978965,42.87773779373385,56.60708551711628,63.873615025588585,67.88161129802464,66.38888928103296,S2
2017-12-03 20:54:12+00:00,32.95520894713451,36.654312475866575,38.41957382710625,49.38530912468768,54.45261000129749,66.28409607215136,74.2005136435414,77.3616353792297,L8
2017-12-07 21:09:12+00:00,24.418528143645947,24.538234502851893,32.01380744782207,42.06859547408236,51.970342242579314,59.3881733268766,64.91164032942577,62.668472324302485,S2
2017-12-25 21:19:10+00:00,23.162466393304,25.662646136348805,21.979053010305822,32.353735420709974,41.762814473532366,53.861918634020576,59.34517233590557,57.95065293951721,S2
2017-12-27 21:09:12+00:00,22.28579364391677,27.42625170969882,31.44308900894511,37.58398858645755,45.71336836691418,56.337781943593285,61.76969245064859,60.84666825695263,S2
2017-12-30 21:19:06+00:00,32.65658040576683,22.366609899914003,,41.15809169921631,51.301682637753046,59.589310381739104,64.22928288803176,63.07472145059249,S2
2018-01-04 20:54:11+00:00,29.4476575586876,33.44233742505767,40.00164019328248,43.291451933756576,,,,,L8
2018-01-06 21:09:14+00:00,23.44799896843413,27.63059018770868,29.504607758434776,39.42781853252794,46.62645830604644,55.90718340378383,61.07222911990657,60.345606997132734,S2
2018-01-12 20:56:03+00:00,,,6.776609716649428,22.80974179940042,,,57.079585047935325,58.365992420752285,L7
2018-01-14 21:19:09+00:00,33.95722077728899,33.77471475047404,30.32740384438635,41.69570768404605,53.350725431070536,60.928961832313874,65.76209551146543,64.13514013093605,S2
2018-01-16 21:09:16+00:00,,32.76443554245912,,,,,,,S2
