dates,oahu0070_0001,oahu0070_0002,oahu0070_0003,oahu0070_0004,oahu0070_0005,oahu0070_0006,oahu0070_0007,oahu0070_0008,oahu0070_0009,oahu0070_0010,oahu0070_0011,oahu0070_0012,oahu0070_0013,oahu0070_0014,oahu0070_0015,oahu0070_0016,oahu0070_0017,oahu0070_0018,oahu0070_0019,oahu0070_0020,oahu0070_0021,satname
2019-02-08 21:19:29+00:00,29.920450220228687,42.04847181336784,34.901431203409665,28.259052865156207,20.331073994436363,19.061567186374152,19.193761721782312,19.147150535466096,21.521397672691432,25.802401222737195,36.72552905329559,45.83318233205909,35.88784236905142,34.842754057860354,42.02885627601692,40.83291018115733,32.98721967381334,24.603184123447587,16.37462216630359,,,S2
2019-02-10 21:09:37+00:00,35.34946619044582,45.006354454650086,38.4180865830108,30.20020925373677,22.616690995082813,21.71452681392029,22.013138925134463,22.43681364978442,23.435902737542047,23.75977978819913,36.24900142131879,47.58067529277132,38.8441922070288,38.52559642563742,44.63346099855864,43.833501709882846,37.24928890712908,29.56892043083644,22.445974791590785,12.702657886838017,6.051251977597097,S2
2019-02-13 21:19:32+00:00,40.51161534810321,52.4095089808931,45.531416519582486,37.88522595798596,29.2601724761342,27.906261305969505,28.497702939339494,28.373102237545,28.83443067593652,37.149728359735256,45.04687479882596,54.71101968426031,46.46575624889796,43.84720211509035,49.901547384878505,47.96428345668568,41.04625432375324,33.922834978027176,26.73092098734784,16.527971025083776,8.183703076830504,S2
2019-02-18 21:19:28+00:00,38.389574355611394,49.616296248206574,42.95423802054265,36.08649448876101,28.33313641844773,26.774808082771777,28.134261381312257,27.912603828536607,27.68427628081177,33.77541153922924,41.76416684961728,51.60103655445882,43.29272554417079,42.40392692418964,49.09088876819703,48.08399484068968,41.395805330952335,33.70247349640548,26.60520562239685,16.090248683250007,9.269646823803116,S2
2019-02-20 21:09:36+00:00,46.63508013921143,57.541587177522,51.15002465735125,43.952308331755205,37.11922783243533,36.07862385408031,36.38315604900272,37.065599366031925,36.3989392573815,39.269914461087545,53.39696041574374,60.918942447691336,51.01350063400373,49.12750624350532,55.5907310248277,54.23149293659132,48.268456169473424,41.38139736511875,34.67091884135805,27.710566219740908,23.29343891668788,S2
2019-02-23 21:19:31+00:00,49.35199424730545,57.50378286247099,51.13481933397282,43.93767745684707,36.51182609362499,35.89879880848279,36.577368170687656,37.35148907231838,38.16810659887975,44.81253246815348,54.473034965715165,62.30624477021283,51.37076696241066,50.21682414642995,56.34694905258667,56.476492483987776,51.48256587040366,45.113941316268246,37.65367055961288,30.504440945400788,25.773229266884474,S2
2019-02-24 20:53:46+00:00,42.19005421110664,54.90912546848124,48.36670082706939,41.79933298287261,33.00914771948453,30.95882024800554,31.171047581723965,29.582180076821007,29.739700747556885,31.08130893230789,42.26387465884806,54.94241915281175,45.63374166822052,41.06750913041149,46.97153348208912,44.91628452617553,40.53741670362908,36.31723719759668,28.26837471897637,21.55765973410506,9.686353716404222,L8
2019-03-02 21:09:35+00:00,45.18172025198648,55.43249931962471,49.19757896950795,42.49333135992664,34.99794554364295,33.86860178933426,35.57352540130734,35.8192965914033,36.22728210654837,39.954230951851066,52.64865328035349,60.316753838994046,49.79936646349105,48.64505056750224,55.05578644404649,55.24575621911922,49.96275485156269,42.44623300943911,36.26831576425431,29.31929972652192,24.60379230780872,S2
2019-03-04 20:47:20+00:00,44.99028802206464,58.797062238615055,47.00833361730406,38.13009999275729,34.703719349696684,38.10191370595216,,,,,,,,,,,,,,,,L7
2019-03-05 21:19:30+00:00,41.97429663976229,49.027969604129225,42.150844300695454,34.76555974041512,25.20121756121125,27.01453822159179,27.951919134842385,33.66799469190097,36.40695722180315,39.654498271408826,52.45817650275809,61.028071081224006,50.59336992503097,49.53871994081842,56.33110217850102,55.195875212744106,49.54401303162505,42.36135262413112,35.04836733257193,28.16495007268228,22.965448833555307,S2
2019-03-10 21:19:27+00:00,31.8129716515362,46.91432898369115,40.15683351978471,32.93654837392535,23.72172114797896,22.26298456622293,22.49427822882021,23.059305243063275,23.48178373103329,26.95309448032605,36.68104391319147,50.15933562889784,42.1336794435644,39.60370667839965,45.64734167517935,43.15821472379159,35.551665802694714,29.187169906636505,21.980277245879883,12.36373456812219,1.0836552835451063,S2
2019-03-12 20:53:40+00:00,43.08996078803478,55.005238983013946,47.70793258842952,41.51086950427243,31.987589037522163,31.66411099946537,31.637202210608,31.989090597031243,31.434026189567767,33.17555041000308,41.45452280671605,49.904532831062205,39.53430165386924,35.9686321531549,43.45145606449598,44.38901559384137,39.83785550485366,34.54817817204395,28.667923846836707,21.223947859825287,15.68270618195975,L8
2019-03-15 21:19:30+00:00,44.81258003552099,55.39838054760612,47.063241719637816,39.94493038365973,32.04554179502003,31.09521769786125,31.238974255739844,30.935249425821336,31.6388761487811,38.45639097512208,48.78828915516223,56.64196598117876,46.14667048426229,44.91832916075616,51.90752590922374,51.50789692898571,48.01170318477243,42.395510770412194,34.97236940438088,27.8468552922964,17.554948867196973,S2
2019-03-17 21:09:34+00:00,39.712990896140354,52.78137276780216,41.32706994126838,35.58080748280998,29.45637194719213,25.27375053938721,25.90497178293999,26.42270348378889,26.84607326966816,31.61636646504757,41.781543391283165,49.574779551367136,40.52649759552146,38.52654100355191,44.93008036322038,47.20170109382234,42.00480610111431,37.18485628508424,29.739793898327484,20.303315630115627,12.018551173382418,S2
2019-03-20 20:46:49+00:00,40.392140687251405,54.12623724753642,46.03184373916425,37.72118316788035,33.64539002134635,31.99779483879893,30.441340268757926,25.98576257503021,25.10356568346773,26.852597844694287,41.10053227557701,48.64608617223,39.77696771112122,35.803307779656706,43.25173659343839,45.4471629873192,40.811384025251336,35.19027667671141,28.934157609214218,22.141453864949263,16.514802554747227,L7
2019-03-22 21:09:37+00:00,,,,,,,23.42533576627658,17.71559919423264,17.112689278080115,17.3914054390058,34.01334776377762,41.73284636472003,,,,,,,,13.725149910354364,6.380371002692597,S2
2019-03-27 21:09:36+00:00,36.77426111734209,44.20930053265279,35.63081419232899,28.75372274960821,23.07044085250371,20.537765981647404,21.1526905905224,21.5085981296288,22.742108309892075,27.02818278908023,35.59640588255268,43.68344473148983,34.581132151282176,32.752750561168206,39.77531056539544,41.46486339419839,38.27385194147392,34.08896725667795,26.77525319376007,19.01217243852008,12.493903407440223,S2
2019-03-28 20:53:37+00:00,42.95201268503996,54.58261051691207,39.942025549048445,32.93237520516148,27.688448960179347,26.892005344826217,27.231335475101424,27.04611000622084,26.16001988991073,26.75463931182533,41.89986564947028,49.21108690511644,39.274182901446345,35.9321736658039,43.93676150168106,45.24967543375836,40.70363730695645,35.54731154354414,30.204002772824925,22.4931286419482,15.525185330657544,L8
2019-03-30 21:19:32+00:00,20.446468074517306,,,21.567530506303488,11.320311299755865,11.196300163907871,12.777495836082617,12.9806245704117,13.10890490830512,17.0999145617108,26.2323165109116,33.61116128962303,,,,,,,,,,S2
2019-04-01 21:09:39+00:00,,,,,,,,,,,,54.29657044472759,44.12976863546441,43.08363296107878,53.134763837030825,,61.40682351500752,53.5219651188039,47.94403495991956,,,S2
2019-04-04 21:19:35+00:00,,,36.672056869369705,29.92980643836118,23.340273672562617,24.33394999411492,25.93877875698224,26.864732662877568,27.7653004541767,32.544905209049915,40.70743130064928,49.92324095811807,40.3586134834328,39.58875575439526,46.792778070036256,47.951413564436486,45.09003618864799,38.60354976490164,31.154548355913537,20.47427065589845,12.68580520535698,S2
2019-04-05 20:46:16+00:00,41.13036874691497,54.91736811248207,40.56991858306444,31.898387242548942,26.66194504619533,26.463715570210645,28.07072490838264,27.69436507104185,30.48748595911545,31.091047144277475,39.23562433889373,45.20960361655235,33.17291142573108,32.292410485215854,39.95676956585788,42.12336047468754,38.26348173958144,34.73080785999331,27.52390157160331,20.71538924558961,11.682342639430471,L7
2019-04-06 21:09:38+00:00,39.031908556480914,47.61201342962941,39.37363635872899,33.15285114469264,26.561224440407543,26.22443082569876,27.54252689000681,28.083198338808547,28.295474352181504,29.946671680520947,41.09828192676125,49.387069693296006,40.35307371740254,39.075456961629584,45.32182835873414,47.5093842068323,42.66039126362675,37.87628246634672,30.32115026577788,21.216039347689748,14.369205965796931,S2
2019-04-09 21:19:34+00:00,22.81718044391844,37.37634484253804,28.501441512392,22.45107959176565,16.448732834953734,13.458721132866565,13.782831480032335,14.477031631035224,14.034789854154583,18.37407489529604,30.16638525984657,38.31864434536999,28.71963305180688,27.88426712616581,34.64135137367583,36.19381400989021,31.90567997270135,24.94106638234461,17.45504055576935,10.56571078199185,1.6555534199404198,S2
2019-04-11 21:09:41+00:00,38.25819996082111,49.27552928296377,41.04487937986089,34.0292794365286,25.90285096505013,22.82807977233792,23.4212017516776,23.0676317004166,25.30048852072488,31.90956981141545,37.92061640516248,45.367207587006256,36.34824222190011,34.17237296632111,42.82402767153552,46.72692395756694,41.62690089725841,35.465186454755,27.98583689875929,16.92690445243688,7.426854596643301,S2
2019-04-13 20:53:32+00:00,32.40830650849004,48.61719870067135,37.07404635914276,29.626885350038865,26.458161700988544,21.755834306258063,22.41961165857166,22.0172724989852,20.81090589531625,23.338728593486028,39.40014895676363,45.34447136137896,37.465714842282566,34.697841397739566,41.68223810675048,42.56937547244301,38.45585537492458,34.858465083451776,27.1755472709592,20.465343284240923,12.346048649944551,L8
2019-04-14 21:19:37+00:00,29.27494262699796,42.09320024475488,34.78520025035344,27.95295933288984,22.2652617915396,22.20994875239802,22.02764797670119,22.934692658426503,22.29003171298493,26.384747614555213,37.134205777322165,50.00128234898181,,,,,,35.90109563416848,26.890999247808143,16.9408381869649,12.025214315543124,S2
2019-04-16 21:09:39+00:00,31.63412502592456,41.25721915068319,34.41879442625132,27.60721453902694,22.760863881476364,22.80187993394057,22.32922341418641,22.37215718259673,23.24220370746167,27.89607150596229,38.50738067254022,46.42292452566267,37.54317203751436,36.81563106266336,44.714962287367904,46.51876212600596,40.90988446341225,35.82774865431101,27.298259107086324,19.01323839281219,10.68028702159002,S2
2019-04-19 21:19:35+00:00,20.265652948800508,34.518816526870815,,,,,,,,13.335161372992747,30.50619649205209,38.39247316056933,,,,,,23.03459368046256,15.774863103848482,7.586775250441867,1.1520924501665168,S2
2019-04-21 20:45:41+00:00,,,,32.399130888533186,25.88769771292112,26.680487208487595,24.32936373243922,22.46824559401568,22.00884071026745,24.683204977557672,37.25669705155699,45.385659977557175,35.91288491776944,32.956485796031664,41.2915838171294,42.94752064104721,38.89313439427124,34.001003719494626,27.480552025137264,20.68822143051135,14.9311993747947,L7
2019-04-21 21:09:43+00:00,37.65895804729645,47.72443338009894,40.91648877300671,33.88884673918006,28.057724545596496,28.34728916221433,29.940267346417457,29.41459759931445,29.71923994872869,36.23027950459042,45.58769353542649,52.99849417731103,42.677002609367165,42.48171854633852,49.72978422831056,52.984069263650056,48.18239080367731,40.97411540577541,34.919123855245175,27.931635424367293,23.705054813854137,S2
2019-04-26 21:09:40+00:00,31.79119068083285,42.37768128795086,35.62703861078374,29.17970540503181,23.39466036799599,24.055188276952045,23.553578385194616,23.93844283719173,23.173255907446045,23.90283761708053,35.12403816639155,43.68189846527588,34.851610203982226,33.634314459443175,42.48255743921773,45.26250823342037,40.89015912289278,34.617212581308685,27.192207527930456,18.88281729337693,12.61420950240604,S2
2019-05-07 20:45:05+00:00,39.45863902664913,54.9011948412168,46.52204180987128,41.67674619654718,,,,,,,,,,,,,,,,,,L7
2019-05-11 21:09:45+00:00,37.98705541769771,48.3190329396137,41.46229098596848,35.743126388400995,29.7719506187964,30.0965861523038,31.595053387354568,31.31060216263933,31.16129241422101,34.32487220105634,42.56317261431877,51.785119659977454,43.00093254092586,42.08398420235629,50.981147869475045,52.430498310104944,46.47426991467713,39.89811456679091,32.66044318767524,25.375861203047386,14.841554536685722,S2
2019-05-15 20:53:38+00:00,30.74149346777294,48.78873356502429,37.94951259278003,31.72840038467092,26.67556859586892,21.12281069168917,21.61950096178125,21.857650435512856,20.792066058048075,23.626165237669973,39.6627764567458,45.661852342553104,37.56805539251239,34.795698668748706,40.97718409024503,43.039962044853176,38.845934006869314,35.04952359278861,26.15615857686516,16.2534162944006,9.675921417534338,L8
2019-05-16 21:09:41+00:00,,,,31.20375809355443,26.57106795857394,27.54986835527951,23.0326179041343,23.60589655784696,24.26223094493201,29.922906044819985,40.58761586367119,54.79419973525174,48.70991005053613,49.4593546933792,53.733056904435074,48.43963406040406,36.54528391332519,28.48583343827843,18.422266790362865,11.188125970128004,4.7078023047720485,S2
2019-05-19 21:19:36+00:00,16.56225667218806,30.68842898697964,23.11710576556938,17.680067350372138,13.380911499652395,10.62477623816225,11.807269239478371,11.200621987524327,,,,,,20.81189352709804,28.37881928423039,30.63794590590661,26.82208958948328,19.58935984270132,12.364002572718505,,,S2
