dates,oahu0107_0001,oahu0107_0002,oahu0107_0003,satname
2018-02-08 21:19:09+00:00,46.0164687461909,51.51573684014251,51.52840274285359,S2
2018-02-12 21:00:03+00:00,,,,L8
2018-02-20 21:01:42+00:00,,,,L7
2018-03-05 21:19:12+00:00,54.63761744437606,57.59681718119116,51.93022426490323,S2
2018-03-16 20:59:47+00:00,49.743637640768384,53.9625534951401,,L8
2018-03-25 21:19:14+00:00,57.19709273674101,56.32167197872069,45.16890458740285,S2
2018-03-30 21:19:12+00:00,44.648380184569405,41.80268917359484,41.425560844536896,S2
2018-04-09 21:01:04+00:00,,,,L7
2018-04-09 21:19:13+00:00,35.06164806391906,40.87244098212501,45.307051002696085,S2
2018-05-14 21:19:19+00:00,,,,S2
2018-05-19 21:19:14+00:00,,,26.869458896590576,S2
2018-05-24 21:19:18+00:00,18.3428518824898,,20.9938084705967,S2
2018-06-08 21:19:14+00:00,49.05932036892338,,29.754057007643063,S2
2018-06-13 21:19:15+00:00,,,17.59397171259126,S2
2018-06-18 21:19:15+00:00,,,31.005902803825705,S2
2018-06-20 20:59:11+00:00,,,,L8
2018-06-23 21:19:16+00:00,,,,S2
2018-07-06 20:59:20+00:00,49.26000107658252,52.14991935437576,45.4663940903722,L8
2018-07-28 21:19:13+00:00,,,19.237354021510463,S2
2018-08-02 21:19:16+00:00,,,,S2
2018-08-12 21:19:15+00:00,48.03256604015218,,19.44955035709541,S2
2018-08-15 20:58:48+00:00,,,58.6132545512363,L7
2018-08-17 21:19:09+00:00,,,34.38495307184314,S2
2018-09-06 21:19:07+00:00,,39.5563074029447,31.75556715861253,S2
2018-09-08 20:59:50+00:00,,,,L8
2018-09-16 21:19:08+00:00,,,,S2
2018-09-21 21:19:11+00:00,52.26260383100732,46.09804583078317,36.7938973073952,S2
2018-09-26 21:19:10+00:00,45.860861949538496,50.85518049541311,51.41134718579972,S2
2018-10-01 21:19:12+00:00,48.41665436196271,,17.29080611947634,S2
2018-10-16 21:19:13+00:00,55.34806569097032,54.44634942182617,40.77435155782075,S2
2018-10-18 20:57:21+00:00,52.11922093661316,58.25982147397741,55.65753687200399,L7
2018-10-21 21:19:13+00:00,32.46372848764728,36.05782031856137,28.67988999443931,S2
2018-10-26 21:00:08+00:00,,,,L8
2018-10-26 21:19:13+00:00,,,,S2
2018-10-31 21:19:12+00:00,39.79866568613654,40.6104274417123,29.816041139101625,S2
2018-11-11 21:00:10+00:00,46.67799789435365,51.33232935183821,47.67606683003292,L8
2018-12-05 20:56:13+00:00,,,,L7
2018-12-05 21:19:29+00:00,23.682246014103946,30.790990829957675,30.96040930904984,S2
2018-12-13 21:00:06+00:00,,,,L8
2018-12-15 21:19:28+00:00,59.98376192067115,65.09134647002833,,S2
2018-12-20 21:19:26+00:00,35.9080179707714,36.64976921822055,27.66405655128936,S2
2018-12-21 20:55:46+00:00,,,,L7
2018-12-25 21:19:30+00:00,23.177772418898503,30.47394292731272,32.870529421348095,S2
2018-12-29 21:00:07+00:00,36.62608940788555,39.58486936855696,42.97420486347976,L8
2019-01-06 20:55:17+00:00,,,,L7
2019-01-09 21:19:30+00:00,55.04767502607995,59.00278377362796,54.35077405159975,S2
2019-01-19 21:19:31+00:00,,,,S2
2019-01-22 20:54:46+00:00,,,,L7
2019-01-24 21:19:34+00:00,,28.4596402823511,39.923564307473946,S2
2019-02-03 21:19:34+00:00,58.90798531434053,,,S2
2019-02-07 20:54:17+00:00,57.83997846378853,62.15389366217976,57.64769907142268,L7
2019-02-13 21:19:34+00:00,48.7912920781889,53.91028262865524,55.12617322201592,S2
2019-02-18 21:19:30+00:00,29.90276683907232,27.52354601013545,26.37122369372147,S2
2019-02-23 20:53:48+00:00,,,,L7
2019-02-23 21:19:33+00:00,,,,S2
2019-03-03 20:59:54+00:00,,,,L8
2019-03-11 20:53:18+00:00,,,,L7
2019-03-20 21:19:32+00:00,57.25144330157036,60.1867124603986,53.79186963652319,S2
2019-03-27 20:52:46+00:00,,,,L7
2019-03-30 21:19:34+00:00,40.24038217685399,36.00405809509705,30.219488849775985,S2
2019-04-04 20:59:46+00:00,54.07393243877738,58.515098901484045,54.07046273677605,L8
2019-04-04 21:19:37+00:00,33.5215028639802,36.06617090307193,32.475637465176774,S2
2019-04-09 21:19:36+00:00,59.04307172966978,57.50261949027476,43.08248365727409,S2
2019-04-12 20:52:12+00:00,58.11717164337856,60.35942789615736,52.8683082799458,L7
2019-04-19 21:19:37+00:00,42.94816319072616,,,S2
2019-04-20 20:59:39+00:00,,,,L8
2019-04-24 21:19:41+00:00,48.6143603469978,41.5624638270666,39.509963654745945,S2
2019-05-14 21:19:43+00:00,,,,S2
2019-05-19 21:19:38+00:00,55.137640609739336,56.98448953126415,43.44932152292385,S2
2019-05-22 20:59:53+00:00,,,56.86888504782769,L8
2019-05-24 21:19:43+00:00,,,16.3091854460266,S2
2019-05-29 21:19:37+00:00,,58.56628100163911,34.40557935568981,S2
2019-06-03 21:19:42+00:00,,,,S2
2019-06-07 21:00:01+00:00,,,58.957712686466486,L8
2019-06-08 21:19:37+00:00,59.8003781921153,58.67039108250344,46.02532346689658,S2
2019-06-15 20:49:49+00:00,,,,L7
2019-07-03 21:19:43+00:00,44.42572903758542,36.26692534807971,32.77785224552779,S2
2019-07-08 21:19:39+00:00,,,,S2
2019-07-13 21:19:43+00:00,,,21.2141944833808,S2
2019-07-17 20:48:36+00:00,,,,L7
2019-07-23 21:19:43+00:00,,,24.054922029432205,S2
2019-08-02 20:47:58+00:00,,,,L7
2019-08-02 21:19:42+00:00,,,28.208244990354896,S2
2019-08-07 21:19:38+00:00,,,,S2
2019-08-10 21:00:21+00:00,,,,L8
2019-08-17 21:19:37+00:00,,,,S2
2019-08-22 21:19:39+00:00,46.2213802965091,,46.93631542390528,S2
2019-08-26 21:00:25+00:00,,,,L8
2019-09-16 21:19:34+00:00,,,,S2
2019-09-26 21:19:35+00:00,55.78397120507044,56.6748165283372,47.10556430415245,S2
2019-09-27 21:00:35+00:00,54.63604386676137,60.55944888868619,57.76949015321662,L8
2019-10-01 21:19:35+00:00,53.754719612806696,57.20444934435716,53.23208158420677,S2
2019-10-06 21:19:37+00:00,36.608332192827945,40.882007032084594,49.701344831227246,S2
2019-10-13 21:00:37+00:00,59.49478022665708,,,L8
2019-10-21 20:44:33+00:00,,,,L7
2019-10-21 21:19:35+00:00,57.98859343790059,64.53303349815995,,S2
2019-10-26 21:19:38+00:00,54.453573436678006,63.38397550015193,,S2
2019-10-30 20:37:59+00:00,,,,L7
2019-10-31 21:19:35+00:00,55.37394133308205,63.50848324894709,,S2
2019-11-10 21:19:33+00:00,51.04158315729501,57.84651696018075,57.8529381520252,S2
2019-11-14 21:00:35+00:00,,,,L8
2019-11-15 20:37:15+00:00,,,,L7
2019-11-20 21:19:32+00:00,61.30015407369896,,,S2
2019-11-25 21:19:34+00:00,54.13870004652448,59.66737169421606,57.56962513095751,S2
2019-11-30 21:00:33+00:00,,,,L8
2019-11-30 21:19:29+00:00,57.9930969174579,63.57984159469293,,S2
2019-12-08 20:42:19+00:00,42.67716786885076,48.44112943850653,48.71557951921408,L7
2019-12-10 21:19:28+00:00,56.77256477631206,60.63327645243581,55.47341015615815,S2
2019-12-15 21:19:29+00:00,55.94810507589262,54.55412862186768,49.2348283624002,S2
2019-12-16 21:00:32+00:00,,,,L8
2019-12-17 20:35:41+00:00,,,,L7
2019-12-24 20:41:31+00:00,57.02990312818456,62.46171016320144,59.20051504743448,L7
2019-12-30 21:19:29+00:00,25.590422170929667,31.11846766807305,31.541452382448416,S2
2020-01-01 21:00:27+00:00,40.299771673818334,40.87014699125708,35.9311591492972,L8
2020-01-02 20:34:51+00:00,,,,L7
2020-01-09 20:40:41+00:00,,,,L7
2020-01-09 21:19:29+00:00,59.65176268410544,,,S2
2020-01-19 21:19:28+00:00,59.3277682554179,,,S2
2020-01-24 21:19:27+00:00,47.918044212766766,52.63339425281003,51.06289492404829,S2
2020-01-25 20:39:54+00:00,41.22204409078922,45.59475859495608,42.7481778038737,L7
2020-02-02 21:00:19+00:00,,,,L8
2020-02-03 20:33:16+00:00,,,,L7
2020-02-03 21:19:26+00:00,,,,S2
2020-02-10 20:39:05+00:00,38.51157005219504,36.31016332304117,30.039776082709874,L7
2020-02-19 20:32:26+00:00,,,,L7
2020-02-23 21:19:29+00:00,56.72013482019567,59.93834805231656,53.95259296888433,S2
2020-03-04 21:19:30+00:00,54.06806675245707,58.07220633678934,54.61271220485402,S2
2020-03-05 21:00:10+00:00,,,,L8
2020-03-14 21:19:30+00:00,45.40552695534985,47.43120212042881,45.3115723075126,S2
2020-03-22 20:30:42+00:00,,,,L7
2020-04-06 20:59:53+00:00,,,,L8
2020-04-07 20:29:47+00:00,43.71835572297593,45.04689336131236,37.48808259688936,L7
2020-04-08 21:19:31+00:00,,,31.9290170694522,S2
2020-04-13 21:19:33+00:00,52.16698741081572,,,S2
2020-04-18 21:19:29+00:00,,,21.956829222479577,S2
2020-04-22 20:59:47+00:00,49.78365066846236,51.554717781022646,44.065584067271885,L8
2020-04-30 20:34:37+00:00,,,,L7
2020-05-08 20:59:37+00:00,,,,L8
2020-05-08 21:19:32+00:00,,,17.136218933037853,S2
2020-05-09 20:27:53+00:00,,,,L7
2020-05-13 21:19:39+00:00,,,39.93109522773898,S2
2020-05-16 20:33:38+00:00,,,,L7
2020-05-23 21:19:40+00:00,36.83194222646645,,,S2
2020-05-28 21:19:35+00:00,,,28.243828903675546,S2
2020-06-01 20:32:41+00:00,,,58.85741560737283,L7
2020-06-02 21:19:41+00:00,,,,S2
2020-06-10 20:25:59+00:00,,,,L7
2020-06-12 21:19:40+00:00,56.38108955974804,,,S2
2020-06-17 20:31:45+00:00,47.42304630996421,54.613876012882905,54.31736299121456,L7
2020-06-26 20:25:02+00:00,,,,L7
2020-08-01 21:19:40+00:00,,,,S2
2020-08-04 20:28:49+00:00,,,,L7
2020-08-11 21:19:40+00:00,,,,S2
2020-08-12 21:00:13+00:00,,,,L8
2020-08-16 21:19:38+00:00,,,27.66959634881573,S2
2020-08-20 20:27:48+00:00,,,,L7
2020-08-26 21:19:37+00:00,,,,S2
2020-08-29 20:21:02+00:00,,,,L7
2020-08-31 21:19:39+00:00,60.3291811856906,,28.604889927160347,S2
2020-09-05 20:26:46+00:00,39.621213090528734,42.920318302742544,43.07350890961785,L7
2020-09-10 21:19:38+00:00,30.185563762049902,32.32204915292567,30.63971993491064,S2
2020-09-14 20:19:59+00:00,,,,L7
2020-09-25 21:19:37+00:00,55.94631286375802,59.46250177989273,56.68888248038548,S2
2020-09-29 21:00:33+00:00,,,,L8
2020-09-30 20:18:57+00:00,,,,L7
2020-09-30 21:19:40+00:00,52.9156086688918,42.72176661652858,47.66957541664437,S2
2020-10-05 21:19:38+00:00,45.50305453464372,52.462791683025024,52.29181982992296,S2
2020-10-07 20:24:41+00:00,,,,L7
2020-10-10 21:19:40+00:00,56.224603951876894,56.53539367403031,48.61834536817063,S2
2020-10-15 21:00:34+00:00,,,,L8
2020-10-15 21:19:38+00:00,50.102716012819016,54.21839200259024,51.357556385465465,S2
2020-10-20 21:19:40+00:00,42.38165620364658,40.62894080022095,43.43793844021494,S2
2020-10-25 21:19:37+00:00,55.99831414342321,63.41941029711804,,S2
2020-10-30 21:19:39+00:00,36.88761244878742,,,S2
2020-10-31 21:00:33+00:00,60.32011815722891,,,L8
2020-11-01 20:16:52+00:00,,,,L7
2020-11-04 21:19:36+00:00,45.76755433590819,55.73228740238416,54.63144524670983,S2
2020-11-08 20:22:34+00:00,59.81236872006367,61.25905155321891,52.3225748864371,L7
2020-11-14 21:19:35+00:00,59.09385266036208,63.4970616198414,59.25105400063333,S2
2020-11-16 21:00:32+00:00,,,,L8
2020-11-29 21:19:34+00:00,40.3970885468836,40.25254079363364,36.18343573729884,S2
2020-12-02 21:00:35+00:00,42.2533631593566,44.60970672640343,39.66100267213978,L8
2020-12-10 20:20:16+00:00,,,,L7
2020-12-18 21:00:34+00:00,,,,L8
2020-12-29 21:19:34+00:00,45.22296625230518,38.41257756683577,29.183546284866413,S2
2021-01-04 20:12:17+00:00,,,,L7
2021-01-11 20:17:58+00:00,,,,L7
2021-01-13 21:19:34+00:00,48.85704139950227,54.48182011828278,55.06918941717077,S2
2021-01-23 21:19:34+00:00,39.265941882703785,50.95118235575302,57.55408175057676,S2
2021-01-27 20:16:49+00:00,55.79420606954759,62.00930192535421,59.5103613425547,L7
2021-02-02 21:19:34+00:00,,,,S2
2021-02-04 21:00:21+00:00,28.511732098807133,23.70144720738753,22.20346380013652,L8
