dates,oahu0101_0001,oahu0101_0002,oahu0101_0003,oahu0101_0004,oahu0101_0005,oahu0101_0006,oahu0101_0007,oahu0101_0008,oahu0101_0009,oahu0101_0010,oahu0101_0011,oahu0101_0012,oahu0101_0013,oahu0101_0014,oahu0101_0015,oahu0101_0016,oahu0101_0017,oahu0101_0018,oahu0101_0019,oahu0101_0020,oahu0101_0021,oahu0101_0022,satname
2018-11-05 21:19:14+00:00,46.6364959252243,40.296345281120665,37.9914813346269,42.35101055769047,42.28084030578564,37.40300134400095,44.38516872745617,,,,,,,,,,,,,,,,S2
2018-11-11 21:00:10+00:00,37.262464304375584,33.02504871348872,29.63985628234007,35.65825281736457,35.77831805039257,32.46602905217442,42.14065866509897,46.771694231756165,40.19707598447055,45.399675223201,50.90036774072401,46.542711363449634,48.18245100058189,51.2041787363161,57.85581890864769,64.16730763187941,62.22015878256161,54.635543257494376,63.3247763303378,64.44989501302548,53.81422170091521,,L8
2018-11-12 20:50:37+00:00,40.798131153475886,35.80724013975223,28.91077279373762,36.09672439265159,42.85479647194301,,,,,,,,,,,,,,,,,,L7
2018-11-19 20:56:38+00:00,40.86300962642021,38.35496802923674,36.95779650380479,43.8333643332689,47.78630060097855,50.08774219193573,58.88422744779793,53.98285424600007,47.59127059893304,45.760041388667176,52.64027295729306,50.91793493627973,49.95770959322466,51.55887896342872,56.898676762731135,61.40534940975558,56.79937806607469,49.2470086523164,57.82129720654586,57.63468394160832,49.0607512157844,44.614059745122745,L7
2018-11-28 20:50:13+00:00,,,,,,,,,49.14883846912576,46.44838798290945,52.54628691933198,47.92915050314676,48.6493650618372,50.82734714008693,56.92785452722752,59.68496274968056,56.87583629984778,47.890331361960335,57.39207062386708,56.17420854856594,48.375206670034814,43.92337795539977,L7
2018-11-30 21:19:26+00:00,,,,,,,,,,,,,,,,,,,,,,,S2
2018-12-05 20:56:13+00:00,28.07520556663966,25.23617021003584,22.339378050633336,28.814058601376665,34.87376127139986,39.00709038699311,49.387419983481806,49.53979660110045,44.18978854153524,39.9397481916924,49.7899309831301,47.18521155511799,48.421895224264205,51.34546057677415,57.077209622016575,63.01001227775164,60.359973168713154,,,,,,L7
2018-12-05 21:19:29+00:00,38.95730349517544,31.995017268428946,29.6177424305214,34.07699138306951,37.57156068328888,35.35547450795211,47.81716189995737,53.21552808906672,51.712783054934405,51.50178389313128,56.513484347879874,51.41595166682416,51.14565270581812,53.51185695834713,59.32637777698086,64.94277194076126,63.65624680557231,55.24341174029208,63.93056487802005,,,55.03650424344006,S2
2018-12-10 21:19:26+00:00,22.40986753528141,18.372738022627907,15.933366410210713,23.144063752621857,29.08645008990558,32.884737736539115,43.21663134949995,46.27734151802257,42.90195471219356,43.29771934016268,49.20390130027466,45.5072436888816,44.00017369910385,46.6093183579818,49.03568982830623,53.79179154981415,50.26282183820528,41.45176591450749,50.28309045851874,,,,S2
2018-12-14 20:49:47+00:00,,,,,,,,,56.92521459179704,55.66992898868581,60.80584452817798,57.91295487986495,57.91648746695563,60.84927620904024,63.97657739436482,69.68774667541103,62.24489983708202,55.34249331500156,64.9752959190679,65.9032480471777,55.01876241149492,46.80966232425086,L7
2018-12-15 21:19:28+00:00,47.357824802578826,39.889592051033446,37.35322144430787,42.64123885805068,45.19374925000832,48.11955957316254,57.30307166880175,63.03461481868227,57.1234160301194,58.068635381356216,64.98178061552782,61.48488563055029,61.10470641746248,63.01477297791752,69.04448740011307,73.05300307711573,70.59185844873008,63.885079366131805,72.59081644403304,70.1254740680056,64.58990229288004,60.86511387624484,S2
2018-12-20 21:19:26+00:00,17.306561318247812,14.977235808657012,11.91211386954777,18.8543027958967,20.87460190278637,23.7135598131758,35.24907449564811,42.34844307204223,37.760055187591455,38.35043376371394,43.130833129048334,40.35729510840942,40.36887366508364,42.97224104902946,49.6155732096783,48.76688624552446,47.157396889857,40.28594786652367,48.78772195808803,49.92605982718187,45.15270026640796,43.58295024538703,S2
2018-12-21 20:55:46+00:00,,,,,,,,,,,,,49.49459165438972,47.16216722069449,50.06670207057326,55.75979337411055,53.31225489210258,46.40353275292245,54.59733727603471,56.26100116956676,46.71020395244165,42.31371474866578,L7
2018-12-25 21:19:30+00:00,,,,,,,30.555186293091,35.464791345491044,29.65996499889013,30.8888018191336,39.63878591438168,38.13482105117985,39.50378563632581,44.65346900818522,50.46390373559952,57.93979444724679,57.59682776611111,54.69990835705563,65.28490993729409,63.8496987106122,57.37635346181188,51.75220321168008,S2
2018-12-29 21:00:07+00:00,26.16322773890993,20.170715335906767,17.80076465389543,25.138586852800938,31.55745168433155,33.125673984721246,42.31097652673358,46.31238460176643,42.10831304652366,41.67163442659083,47.98679420565522,44.731381481488285,45.21231574710243,47.455152121783655,51.75296690135118,54.15382947054225,52.04587618375332,43.91891398500452,50.55447358695641,47.63329021836067,45.45712145788795,41.56153573862972,L8
2019-01-04 21:19:32+00:00,35.27934423910468,31.62372043042312,28.24975306681024,33.399092654504045,34.95647264932942,40.81985417601823,51.56130125400599,57.25140283951949,54.860111454878144,59.63689471839306,66.10295027843503,62.758627489208415,60.117911621240175,62.17851483476344,67.44557736362277,60.23584055077012,57.69738734074698,51.18553768776781,57.68380596665432,56.87862831579748,49.228677747696594,43.72775662055481,S2
