dates,oahu0002_0001,oahu0002_0002,oahu0002_0003,oahu0002_0004,oahu0002_0005,oahu0002_0006,oahu0002_0007,oahu0002_0008,oahu0002_0009,oahu0002_0010,oahu0002_0011,oahu0002_0012,oahu0002_0013,oahu0002_0014,satname
2012-11-27 20:50:03+00:00,,,,,,,28.34505280977798,28.37466997250404,27.345729970858446,31.27510786509055,37.06316448371659,38.94217861790927,46.01967566618404,54.5131947164717,L7
2012-12-29 20:50:13+00:00,50.64110196509044,37.639665341918594,,,,,,,,,,,,,L7
2013-01-30 20:50:16+00:00,,,,,,,,,,,,,,,L7
2013-03-26 20:56:16+00:00,47.31160220099554,30.54484480898974,28.363171859577925,23.35297315852388,,,,,,,,,,,L7
2013-04-04 20:50:06+00:00,55.33292215932366,33.1564711669847,31.64461534403024,28.9651877515885,25.24313993881619,26.62135297000256,28.05009820912557,27.456851347788582,28.015917157879432,30.33348644899631,34.185745635067185,36.17675337048612,37.61651693413994,40.10064004905303,L7
2013-04-11 20:56:15+00:00,49.51244820166304,32.910552224491866,31.697494837390902,27.96130919794039,26.134208179010603,25.73631563626812,25.911771234124554,26.967185495467884,28.050749718404056,28.11950069431305,30.23204190577724,32.1890704577844,31.51830078910069,31.552471472863648,L7
2013-04-20 20:49:59+00:00,57.84144327572731,37.87998519310281,36.2912572839001,32.37451902402361,32.017899158508335,31.509694084756497,33.067908060471595,34.55369297486211,36.773213336108135,,,,,,L7
2013-04-27 20:56:09+00:00,48.93782700908073,29.26034187484128,26.61509051906929,20.208790578785248,18.29264907552622,19.44615007846123,20.56135107107184,19.761047534161463,21.888354518953463,21.147230531978355,22.20334139224325,26.44800301952061,26.913698294238355,26.02842743916596,L7
2013-05-29 20:56:00+00:00,41.79498850092825,25.148900007008585,22.67544116313345,19.06858086851647,17.012517909186194,17.253469051522274,18.8931879856976,19.87134189286939,20.872302123470902,21.154937271369626,25.39133432472936,25.476249867331944,,,L7
2013-06-22 21:02:09+00:00,54.205086794022165,33.45103587693444,30.09343717394232,27.072581952412143,24.42198313524013,27.559190584560568,27.040103222258217,28.825397572837115,30.95482424056059,31.512049419598075,32.38795659397865,31.801897911133967,29.98059949191186,39.69763140997626,L8
