dates,oahu0017_0001,oahu0017_0002,oahu0017_0003,oahu0017_0004,oahu0017_0005,oahu0017_0006,oahu0017_0007,satname
2015-06-04 20:59:47+00:00,19.363375300603504,31.35846262799819,42.99086265040617,52.84496063141158,60.85611585634487,59.46807001573242,63.1463696084426,L7
2015-06-05 20:53:15+00:00,26.67614303659652,38.877334748806,48.31365594268285,59.469041330505625,83.76130626803048,76.02336925814735,,L8
2015-06-13 20:53:40+00:00,21.709594247833305,33.638237222880235,46.25018133253321,58.44092205908483,71.42573665828647,71.84804811744988,88.03089939175577,L7
2015-06-29 20:53:42+00:00,,,,,,,,L7
2015-07-31 20:53:50+00:00,,,,,,,,L7
2015-08-07 21:00:03+00:00,,,,,,,,L7
2015-08-15 20:59:57+00:00,0.8666970207129767,5.962931532400248,40.45514621976695,50.82079336362321,74.080698067854,70.9025353126805,85.32271134579177,L8
2015-08-16 20:53:54+00:00,21.989330948207087,29.647422178986883,43.66438877620955,57.45168920320643,75.26853140954461,77.95993742253698,,L7
2015-08-23 21:00:05+00:00,30.862610170473072,37.29603618680572,50.61427316676372,65.5789146136129,78.91981659754757,71.06053493252126,58.08797858381231,L7
2015-08-31 21:00:03+00:00,5.406099841774396,24.55175699923608,46.707138727405415,50.36450558949015,70.01677375828697,59.11208074535447,,L8
2015-09-01 20:53:53+00:00,24.68053780546814,33.23331959288896,42.50443106930489,56.15093791115653,68.93392624998995,62.6287729520356,68.04662634291661,L7
2015-09-08 21:00:08+00:00,9.093677532736292,19.84740238843281,39.95581964236254,54.15652898862092,64.32296706082988,65.61144344275881,70.16905070359907,L7
2015-09-09 20:53:56+00:00,7.381975365965177,38.33945372696184,51.131287097696,60.0866416431133,78.96851614976764,76.98927596995057,,L8
2015-09-16 21:00:11+00:00,9.025239948775967,28.939821942423244,42.00009321406139,51.81030931325975,63.239522216869815,63.81893801072907,,L8
2015-10-18 21:00:16+00:00,3.3940976528319253,9.220188757459187,16.533097565025937,39.13284750290342,,42.867085021819726,,L8
2015-11-03 21:00:21+00:00,0.552222917808689,7.457826071487163,,49.05760708682263,57.80636318696663,52.091180042447824,67.00096706218939,L8
2015-11-12 20:54:09+00:00,4.75887743951476,39.75408026540064,50.86784891576056,60.478219641560536,84.5526218658987,76.76635070818948,,L8
2015-11-27 21:01:07+00:00,13.984858399633342,41.94830881786343,61.47331525681778,,,,,L7
2015-12-05 21:00:22+00:00,13.51957363495095,31.22635246749227,46.459087611862905,55.2695306502147,69.2630563360066,71.08702958392736,,L8
2015-12-06 20:55:05+00:00,,,,,,,,L7
2015-12-13 21:01:23+00:00,,,,,,,,L7
2015-12-14 20:54:11+00:00,2.745679537422932,15.005451965714188,39.20773724356218,55.71631484432015,65.23510134884532,62.8852834286982,,L8
2015-12-21 21:00:23+00:00,4.0106084260454296,11.156502698035393,13.265881460228272,46.13919216448935,69.53231270731776,55.86832743875575,59.71236270227613,L8
2015-12-29 21:01:36+00:00,,,,,,,,L7
2016-01-06 21:00:18+00:00,2.098893022354525,7.899549660495611,,48.720619688301255,57.37031617440573,49.28477384855208,60.2034687035151,L8
2016-01-07 20:55:35+00:00,8.238643393335392,21.07129988727124,44.28421847260769,56.85286801013932,68.09209240686219,65.00966355510941,65.130387978781,L7
2016-01-14 21:01:52+00:00,10.82358535047682,22.85198678956817,40.28447679896523,53.3618657352957,61.67366004287239,60.81733724826152,61.62995470297152,L7
2016-01-22 21:00:19+00:00,4.65869723010916,17.06118377199563,44.57195610027191,54.108445452419936,68.31087800858658,56.68734647697651,,L8
